Question,OriginalQuestion,qwen72b,llama70b,gptoss120b,in_all_failed_subset
How do the tactics employed by NotCompatible and NetTraveler typically compare in relation to initiating DDoS attacks?,What is the typical behavior of NotCompatible versus NetTraveler when it comes to launching DDoS attacks?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
"What techniques are typically employed by malicious software such as PUNCHTRACK, DEATHRANSOM, and MAZE?","What are the common techniques used by malware, specifically PUNCHTRACK, DEATHRANSOM, and MAZE?",EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What measures can Regsvcs/Regasm Mitigation implement to safeguard against the detrimental effects of CORALDECK?,How can Regsvcs/Regasm Mitigation protect itself from the damage caused by CORALDECK?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
"What techniques are involved in Compiled HTML File Mitigation that can be applied to minimize the effects of AndroRAT, specifically iKitten?",How can Compiled HTML File Mitigation be used to mitigate the impact of iKitten,NOT_EQUIVALENT,NOT_EQUIVALENT,NOT_EQUIVALENT,True
What measures can be taken to safeguard against the potential harm to Restrict Registry Permissions resulting from the actions of Kessel?,How can Restrict Registry Permissions protect itself from the damage caused by Kessel?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
"What characteristics of Email Hiding Rules can be attributed to NightClub, MacMa, and LightNeuron?","What are the key characteristics of NightClub, MacMa, and LightNeuron in terms of Email Hiding Rules?",EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What initiatives have CARROTBAT and BBK been involved in?,What campaigns have CARROTBAT and BBK participated in?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
"What are the key countermeasures for countering the potential threats posed by Doki, WindTail, and specifically Exaramel for Linux?","What are the primary methods for preventing and mitigating the risks associated with Doki, WindTail, and Exaramel for Linux?",EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What distinguishes INSOMNIA from MiniDuke in its use of Distributed Denial-of-Service (DDoS) attacks?,What sets INSOMNIA apart from MiniDuke in terms of its reliance on DDoS attacks?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What campaigns have been associated with TrickBot and TinyTurla operations?,What are the known campaigns connected to TrickBot and TinyTurla?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What methods does Custom Command and Control Protocol utilize to evade detection by security software and systems?,How does Custom Command and Control Protocol manage to evade the detection of security systems and software?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What methods do malicious actors use to successfully breach or penetrate security systems and defenses through Malicious Web Content?,How does Malicious Web Content manage to breach or penetrate security systems and defenses?,EQUIVALENT,EQUIVALENT,NOT_EQUIVALENT,True
On which platform is Brute Force I/O most commonly linked?,What kind of platform is Brute Force I/O most commonly associated with?,EQUIVALENT,EQUIVALENT,NOT_EQUIVALENT,False
What type of platform is vulnerable to the significant threat of Reflective Code Loading?,For what type of platform is Reflective Code Loading considered a significant threat?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is typically sought to be undermined through Compromise Software Supply Chain?,What is the ultimate target of Compromise Software Supply Chain?,NOT_EQUIVALENT,NOT_EQUIVALENT,EQUIVALENT,True
What methods enable Modify cached executable code to avoid being detected and protected?,In what ways is Modify cached executable code able to evade detection and protection?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
"What security systems or defenses might be vulnerable to compromise, disablement, or bypass due to Loss of Productivity and Revenue?","What types of defenses or security systems can Loss of Productivity and Revenue compromise, disable, or bypass?",NOT_EQUIVALENT,EQUIVALENT,EQUIVALENT,False
"What types of defenses can Loss of Availability successfully evade, bypass, or disable?","What are the defenses that Loss of Availability can successfully evade, bypass, or disable?",EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the primary target platform for the Data from Configuration Repository?,For which platform is Data from Configuration Repository primarily intended?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security protocols or measures might be vulnerable to compromise or subversion by Spearphishing Link?,What security protocols or measures can Spearphishing Link compromise or undermine?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security measures can Container and Resource Discovery potentially evade or bypass?,What defenses can Container and Resource Discovery evade or circumvent?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What countermeasures fail to mitigate the vulnerability associated with Create Process with Token?,What countermeasures are ineffective against Create Process with Token?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
Which security measures are susceptible to the PubPrn vulnerability?,What security measures are vulnerable to PubPrn?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What security protocols can NTFS Extended Attributes bypass or evade?,Identify the security protocols that NTFS Extended Attributes can circumvent.,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What types of security controls does Indirect Command Execution successfully circumvent or compromise?,What security measures does Indirect Command Execution manage to bypass or undermine?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the typical platform for the deployment or execution of External Remote Services?,On which platform is External Remote Services typically deployed or executed?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the primary purpose of Re-opened Applications?,What is the main intention of a Re-opened Applications?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What operating environment is the Havij framework specifically tailored to function on?,On which platform is Havij designed to run?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
"What types of security measures can System Services successfully evade, bypass, or disable?","What are the defenses that System Services can successfully evade, bypass, or disable?",EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the intended primary platform for the meek protocol?,What is the primary platform that meek is intended for?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security controls are ineffective against Reflective Code Loading attacks?,What security measures are unable to prevent Reflective Code Loading?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What mechanisms can malware use to evade or bypass the Prevent Application Removal defenses?,What defenses can Prevent Application Removal evade or circumvent?,NOT_EQUIVALENT,EQUIVALENT,NOT_EQUIVALENT,True
What is the primary objective behind the strategy of Generate Fraudulent Advertising Revenue?,What is the purpose of Generate Fraudulent Advertising Revenue?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
How do Masquerade Task or Service manage to evade the security measures that have been implemented?,In what ways does Masquerade Task or Service evade the defenses put in place?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What are the known aliases used by the Nomadic Octopus group?,What are the pseudonyms of the Nomadic Octopus group?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the primary goal of a Proxy attack?,What is the objective of an Proxy attack?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the main target platform typically exploited by attackers using the Regsvr32 command?,Which platform serves as the primary focus for Regsvr32 attacks?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What techniques are employed by Active Scanning to avoid being detected by security systems and software?,How does Active Scanning manage to evade the detection of security systems and software?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What is the central platform for Video Capture attacks primarily targeted by threat actors?,Which platform serves as the primary focus for Video Capture attacks?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What tactics do System Binary Proxy Execution techniques typically employ to circumvent the defenses of security systems?,Can you describe the methods by which System Binary Proxy Execution evades the defenses of security systems?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What is the primary purpose of Application Deployment Software?,What is the intention behind Application Deployment Software?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What types of security measures can be vulnerable to Unix Shell Configuration Modification?,What defensive techniques can be compromised by Unix Shell Configuration Modification?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
For which particular platform is the Ingress Tool Transfer primarily designed?,What platform is Ingress Tool Transfer specifically tailored for?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What techniques does App Delivered via Email Attachment employ to successfully bypass detection by security defenses?,How does App Delivered via Email Attachment manage to evade detection by defenses?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security vulnerabilities does Hidden File System specifically target or take advantage of?,What are the security weaknesses or vulnerabilities that Hidden File System exploits or leverages?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What type of platform is primarily targeted by Unix Shell Configuration Modification attacks?,Which platform serves as the primary focus for Unix Shell Configuration Modification attacks?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What are the known monikers used by the Patchwork group?,What are the known aliases of the Patchwork group?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security measures are vulnerable to being circumvented through Boot or Logon Autostart Execution?,Which defense strategies can be evaded by Boot or Logon Autostart Execution?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What security controls or defenses that BITS Jobs has access to can it potentially compromise or disable?,What types of defenses or security controls can BITS Jobs compromise or disable?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security features are typically circumvented through the use of Network Device CLI?,What security features are bypassed by Network Device CLI?,EQUIVALENT,EQUIVALENT,NOT_EQUIVALENT,False
What primary target does Clear Mailbox Data attacks typically focus on?,Which platform serves as the primary focus for Clear Mailbox Data attacks?,EQUIVALENT,EQUIVALENT,NOT_EQUIVALENT,True
What is the primary purpose of the Login Item?,What is the main objective of Login Item?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What methods do adversaries use to evade detection by defenses within the Modify Controller Tasking framework?,How does Modify Controller Tasking manage to evade detection by defenses?,NOT_EQUIVALENT,NOT_EQUIVALENT,NOT_EQUIVALENT,True
What strategies does Prevent Application Removal employ to avoid being detected by security systems and software?,How does Prevent Application Removal manage to evade the detection of security systems and software?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What tactics do security systems and software employ that Software Deployment Tools are able to successfully circumvent?,How does Software Deployment Tools manage to evade the detection of security systems and software?,NOT_EQUIVALENT,NOT_EQUIVALENT,NOT_EQUIVALENT,False
What types of security protocols are incapable of blocking Block Command Message?,What security measures are unable to prevent Block Command Message?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the main objective behind an Engineering Workstation Compromise?,What is the primary goal of Engineering Workstation Compromise?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What types of security controls can be evaded or bypassed by Hooking?,What are the security controls or measures that Hooking can bypass or evade?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the primary purpose of Data from Removable Media?,What is the main objective of Data from Removable Media?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What is the main goal of the Install Digital Certificate process?,What is the purpose of Install Digital Certificate?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the central target of Sharepoint exploitation efforts?,Which platform serves as the primary focus for Sharepoint attacks?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What security measures are vulnerable to Point & Tag Identification?,What defensive techniques can be compromised by Point & Tag Identification?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What tactics does Local Email Collection employ to avoid being detected by security systems?,What strategies does Local Email Collection use to evade security defenses and remain undetected?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What security measures or protective protocols might be vulnerable to compromise or disruption by Fake Developer Accounts?,What types of defenses or security controls can Fake Developer Accounts compromise or disable?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
How does Direct Network Flood successfully avoid being detected and protected by security measures?,In what ways is Direct Network Flood able to evade detection and protection?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What techniques does a Graphical User Interface utilize to avoid being detected by security defenses?,How does Graphical User Interface manage to evade detection by defenses?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security measures are ineffective against SIP and Trust Provider Hijacking?,What security measures are unable to prevent SIP and Trust Provider Hijacking?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What security measures can Multilayer Encryption potentially circumvent or avoid?,What are the security controls or measures that Multilayer Encryption can bypass or evade?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What are the various aliases used by the notorious group known as APT19?,What are the different names by which the APT19 group is known?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What type of platform is most frequently linked to Exfiltration Over Web Service incidents?,What kind of platform is Exfiltration Over Web Service most commonly associated with?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
"What types of security measures can Junk Data effectively evade, bypass, or disable?","What are the defenses that Junk Data can successfully evade, bypass, or disable?",EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What types of security measures are susceptible to Clipboard Modification?,What security measures are vulnerable to Clipboard Modification?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security measures are commonly evaded or circumvented by the technique of Code Signing?,What techniques does Code Signing use to bypass security measures?,NOT_EQUIVALENT,NOT_EQUIVALENT,NOT_EQUIVALENT,False
What platform is typically linked to the operation of Rogue Master Device?,What kind of platform is Rogue Master Device most commonly associated with?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
Which security protocols are typically evaded or circumvented as a result of Remote System Information Discovery?,What security protocols are bypassed or compromised by Remote System Information Discovery?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the main purpose of a Rogue Master Device?,What is the primary objective of a Rogue Master Device?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What methods does Access Sensitive Data in Device Logs employ to remain active and avoid being detected?,What techniques does Access Sensitive Data in Device Logs use to evade detection and remain active?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What is the purpose of XDG Autostart Entries?,What is the intention behind XDG Autostart Entries?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What is the purpose of Password Policy Discovery?,What is the intention behind Password Policy Discovery?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What platforms are commonly targeted by Transport Agent malware for exploitation?,What type of platform is often compromised by Transport Agent malware?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the purpose behind Malicious or Vulnerable Built-in Device Functionality?,What is the intention behind Malicious or Vulnerable Built-in Device Functionality?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What is the primary goal of Uninstall Malicious Application?,What is the main intention of a Uninstall Malicious Application?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the main objective of Alternate Network Mediums?,What is the primary goal of Alternate Network Mediums?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What tactics does the Modify Authentication Process use to circumvent the security measures in place?,Can you describe the methods by which Modify Authentication Process evades the defenses of security systems?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
"What security systems and defenses can be compromised, disabled, or circumvented through RDP Hijacking?","What types of defenses or security systems can RDP Hijacking compromise, disable, or bypass?",EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the primary objective behind a Dynamic-link Library Injection?,What is the main intention of a Dynamic-link Library Injection?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the function of Additional Cloud Credentials?,What is the purpose of Additional Cloud Credentials?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
When did Operation Honeybee's most recent iteration occur?,When did the most recent instance of Operation Honeybee take place?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security measures fail to prevent the operation of Change Operating Mode?,What security measures are unable to prevent Change Operating Mode?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What types of security controls are vulnerable to exploitation via the InstallUtil utility?,Which security controls are susceptible to InstallUtil?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
"What security measures or defense systems can be compromised, disabled, or circumvented by Protected User Data?","What types of defenses or security systems can Protected User Data compromise, disable, or bypass?",EQUIVALENT,NOT_EQUIVALENT,EQUIVALENT,False
Which security measures are susceptible to exploitation through Ptrace System Calls?,What security measures are vulnerable to Ptrace System Calls?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
For what platform is Indicator Removal on Host primarily designed?,For which platform is Indicator Removal on Host primarily intended?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What platforms are the intended users of RemoteUtilities?,Which platform is the target audience for RemoteUtilities?,NOT_EQUIVALENT,EQUIVALENT,NOT_EQUIVALENT,False
How does Regsvcs/Regasm manage to avoid being detected and protected by security systems?,In what ways is Regsvcs/Regasm able to evade detection and protection?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
On which type of platform is Impersonation typically designed to operate?,What type of platform is Impersonation typically designed for?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
"What types of security defenses can Modify Registry successfully evade, bypass, or disable?","What are the defenses that Modify Registry can successfully evade, bypass, or disable?",EQUIVALENT,EQUIVALENT,EQUIVALENT,False
On which system is Event Triggered Execution typically deployed or carried out?,On which platform is Event Triggered Execution  typically deployed or executed?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What is the primary objective of Cloud Groups?,What does Cloud Groups aim to achieve?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security controls and defenses might Domain Fronting potentially undermine or circumvent?,What types of defenses or security controls can Domain Fronting compromise or disable?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security measures are typically circumvented by Default Accounts?,What security features are bypassed by Default Accounts?,EQUIVALENT,EQUIVALENT,NOT_EQUIVALENT,False
What methods does a Rogue Domain Controller employ to circumvent and compromise existing security systems and defenses?,How does Rogue Domain Controller manage to breach or penetrate security systems and defenses?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
On what platforms is Disable Cloud Logs usually implemented or activated?,On which platform is Disable Cloud Logs typically deployed or executed?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the main goal of an Exfiltration Over Command and Control Channel cyber-attack?,What is the objective of an Exfiltration Over Command and Control Channel attack?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the primary purpose of Execution Guardrails?,What is the main intention of a Execution Guardrails?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What is the primary objective of an attacker when performing Domain Trust Discovery?,What does an attacker seek to accomplish with Domain Trust Discovery?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
How does the Cloud Service Dashboard successfully circumvent existing security measures?,In what ways does Cloud Service Dashboard evade the defenses put in place?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the primary objective of a Drive-by Compromise?,What does an attacker seek to accomplish with Drive-by Compromise?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the intended function of Insecure Third-Party Libraries?,What is the purpose of Insecure Third-Party Libraries?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What is the purpose of the Trusted Developer Utilities?,What is the intention behind Trusted Developer Utilities?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What methods do System Services employ to avoid detection and continue operating?,What techniques does System Services use to evade detection and remain active?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What methods does Data Encrypted for Impact utilize to avoid detection and persist on a system?,What techniques does Data Encrypted for Impact use to evade detection and remain active?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What is the destination endpoint of Network Address Translation Traversal?,What is the ultimate target of Network Address Translation Traversal?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the primary objective of conducting Network Connection Enumeration?,What is the purpose of Network Connection Enumeration?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
On which platforms does ListPlanting typically target or function?,Which platform does ListPlanting target or operate on?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security vulnerabilities or weaknesses does Network Information Discovery specifically target or utilize?,What are the security weaknesses or vulnerabilities that Network Information Discovery exploits or leverages?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What techniques does Compromise Software Supply Chain utilize to bypass security defenses?,What methods does Compromise Software Supply Chain employ to evade security defenses?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What is the primary platform targeted by Elevated Execution with Prompt type attacks?,Which platform serves as the primary focus for Elevated Execution with Prompt attacks?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What methods does Exfiltration Over Webhook utilize to bypass detection and maintain persistence?,What techniques does Exfiltration Over Webhook use to evade detection and remain active?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What is the purpose behind the concept of Fileless Storage?,What is the intention behind Fileless Storage?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What methods do attackers utilize to successfully penetrate security systems using Dynamic-link Library Injection?,How does Dynamic-link Library Injection manage to breach or penetrate security systems and defenses?,NOT_EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What measures does the Component Object Model employ to avoid being detected by security systems?,Can you explain how Component Object Model evades detection by security systems?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What Confluence features or functionalities might be vulnerable to exploitation by attackers?,What defensive techniques can be compromised by Confluence?,NOT_EQUIVALENT,EQUIVALENT,NOT_EQUIVALENT,True
Which security defenses are susceptible to being targeted by Client Configurations?,What defense mechanisms are vulnerable to exploitation by Client Configurations?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
Which security protocols are vulnerable to exploitation through the mechanism known as Pass the Ticket?,What security protocols are bypassed or compromised by Pass the Ticket?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
On which system or platform does the Activate Firmware Update Mode function operate?,Which platform does Activate Firmware Update Mode target or operate on?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What is the primary goal of an attack involving Impair Command History Logging?,What is the objective of an Impair Command History Logging attack?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security protocols or measures might Stored Application Data potentially compromise or erode?,What security protocols or measures can Stored Application Data compromise or undermine?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What is the primary objective behind the malicious operation known as Project File Infection?,What is the purpose of Project File Infection?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What methods enable SID-History Injection to avoid detection and protection?,In what ways is SID-History Injection able to evade detection and protection?,EQUIVALENT,EQUIVALENT,EQUIVALENT,False
What security controls are most vulnerable to issues stemming from Network Trust Dependencies?,Which security controls are susceptible to Network Trust Dependencies?,NOT_EQUIVALENT,EQUIVALENT,NOT_EQUIVALENT,False
What security measures are evaded or compromised through the Escape to Host tactic?,What security protocols are bypassed or compromised by Escape to Host?,EQUIVALENT,EQUIVALENT,NOT_EQUIVALENT,False
What is the purpose behind Deobfuscate/Decode Files or Information?,What is the intention behind Deobfuscate/Decode Files or Information?,EQUIVALENT,EQUIVALENT,EQUIVALENT,True
What security defenses does At (Linux) typically circumvent through its evasion techniques?,What methods does At (Linux) employ to evade security defenses?,EQUIVALENT,EQUIVALENT,NOT_EQUIVALENT,False
