Question,Section,path,n_gold,known_gold_bug,n_sparql,match
How does the IcedID function?,single_hop_not_filter,uses_attack_pattern,20,False,20,True
How can Hildegard be identified and removed from a network?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,50,False,50,True
How does the Lurid function?,single_hop_not_filter,uses_attack_pattern,4,False,4,True
What countermeasure can be taken to minimize the effects of Ryuk on a computer network?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,43,False,43,True
Which asset is the target of the attack pattern that employs PowerShell scripts used by the LoFiSe?,multi_hop_relationship,uses_attack_pattern<SEP>filter PowerShell<SEP>targets,7,False,7,True
In what way does the Shark operate?,single_hop_not_filter,uses_attack_pattern,18,False,18,True
"What information is available about the Chameleon used by MoustachedBouncer in their campaign, and what are its notable behaviors?",other_double_entity,is_intrusion_set_type<SEP>select MoustachedBouncer<SEP>is_responsible<SEP>uses_malware<SEP>select Chameleon<SEP>uses_attack_pattern,18,False,18,True
In what ways do NotPetya techniques evade detection by firewalls and other security tools?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,8,False,8,True
Which defensive strategies are commonly bypassed by Mafalda attacks?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,7,False,7,True
What is the target platform for Brute Ratel C4?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_platforms,9,False,9,True
What is the approach used by the TA551?,single_hop_not_filter,uses_attack_pattern,15,False,15,True
How does the S-Type function?,single_hop_not_filter,uses_attack_pattern,26,False,26,True
What characteristics does the BBSRAT exhibit?,single_hop_not_filter,uses_attack_pattern,19,False,19,True
What key component of cybersecurity helps to prevent and mitigate the attacks of BabyShark?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,33,False,33,True
How can BlackCat be identified and removed from a network?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,38,False,38,True
What is the main intention of a Exfiltration Over Unencrypted Non-C2 Protocol?,intra_relationship,x_mitre_tactic_type,1,False,1,True
What crucial tactic is employed to counter the threat posed by NotPetya?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,56,False,56,True
What are the primary characteristics of the P8RAT's behavior?,single_hop_not_filter,uses_attack_pattern,5,False,5,True
"What are the key indicators of token manipulation by spyware, and how can they be detected?",multihop_no_entity,is_malware_type<SEP>filter ransomware<SEP>uses_attack_pattern<SEP>filter token<SEP>detected_by,21,False,21,True
Which platform does Process Hollowing target or operate on?,intra_relationship,x_mitre_platforms,1,False,1,True
"What asset is at the center of the attack pattern that utilizes PowerShell scripts, a distinguishing feature of the CharmPower?",multi_hop_relationship,uses_attack_pattern<SEP>filter PowerShell<SEP>targets,6,False,6,True
Can you list the alternative names for the Confucius group?,intra_relationship,aliases,2,False,2,True
What is the intention behind Encrypted Channel?,intra_relationship,x_mitre_tactic_type,1,False,1,True
What platforms are commonly associated with the Bouncing Golf attacks and their techniques?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_platforms,2,False,2,True
Which key approach helps to neutralize the impact of Pasam on a system?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,24,False,24,True
How do techniques utilized by the Putter Panda manage to evade detection by various defenses?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,6,False,6,True
What key component of cybersecurity helps to prevent and mitigate the attacks of HiddenWasp?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,27,False,27,True
On which platform is External Remote Services typically deployed or executed?,intra_relationship,x_mitre_platforms,3,False,3,True
In what ways do the actions of a modular backdoor contribute to the objectives of a Aquatic Panda campaign?,multi_hop_relationship,is_responsible<SEP>uses_malware<SEP>filter modular and backdoor<SEP>uses_attack_pattern<SEP>x_mitre_impact_type,0,True,0,True
What are the nicknames of the group known as Cinnamon Tempest?,intra_relationship,aliases,1,False,1,True
What type of behavior is typical for the UPPERCUT?,single_hop_not_filter,uses_attack_pattern,13,False,13,True
What virus is the C0021 known to use?,single_hop_not_filter,uses_malware,1,False,1,True
What platforms do the techniques of spyware employed by Lazarus Group utilize?,multihop_one_entity_filter,uses_malware<SEP>filter spyware<SEP>uses_attack_pattern<SEP>x_mitre_platforms,6,False,6,True
What is the process of detecting and eliminating S.O.V.A. from a system?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,27,False,27,True
What kind of platform is Default Credentials most commonly associated with?,intra_relationship,x_mitre_platforms,3,False,3,True
What kind of behavior is characteristic of the Allwinner?,single_hop_not_filter,uses_attack_pattern,2,False,2,True
How do you detect the presence of HELLOKITTY in a system?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,17,False,17,True
Which platforms are most vulnerable to the attacks carried out by the Cinnamon Tempest?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_platforms,6,False,6,True
What are the additional names used to describe the Rocke group?,intra_relationship,aliases,1,False,1,True
Which platform does XDG Autostart Entries target or operate on?,intra_relationship,x_mitre_platforms,1,False,1,True
What key component of cybersecurity helps to prevent and mitigate the attacks of ZergHelper?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,4,False,4,True
What key component of cybersecurity helps to prevent and mitigate the attacks of Starloader?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,9,False,9,True
"Can you confirm whether BLUELIGHT was used by the Scarlet Mimic in their campaign? If yes, what are its primary behaviors?",other_double_entity,is_intrusion_set_type<SEP>select Scarlet Mimic<SEP>is_responsible<SEP>uses_malware<SEP>select BLUELIGHT<SEP>uses_attack_pattern,20,False,20,True
What technique does the admin@338 employ?,single_hop_not_filter,uses_attack_pattern,17,False,17,True
Which platform serves as the primary focus for Gather Victim Network Information attacks?,intra_relationship,x_mitre_platforms,1,False,1,True
What backdoor or ransomware variant is employed by the APT37?,single_hop_relationship_filter,uses_malware<SEP>filter ransomware or backdoor,6,False,6,True
Which asset is the target of the attack pattern that employs PowerShell scripts used by the jRAT?,multi_hop_relationship,uses_attack_pattern<SEP>filter PowerShell<SEP>targets,7,False,7,True
What is the typical behavior associated with the Bouncing Golf?,single_hop_not_filter,uses_attack_pattern,3,False,3,True
What are the essential security measures to take against the threats posed by APT29?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,99,False,99,True
What are the detection and prevention strategies for token manipulation techniques used by spyware?,multihop_no_entity,is_malware_type<SEP>filter ransomware<SEP>uses_attack_pattern<SEP>filter token<SEP>detected_by,21,False,21,True
How do QUADAGENT tactics avoid detection by security systems?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,7,False,7,True
For what type of platform is Program Organization Units considered a significant threat?,intra_relationship,x_mitre_platforms,1,False,1,True
Which security protocols are often bypassed by OLDBAIT exploits?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,5,False,5,True
At what point in time did Operation Dust Storm last occur?,intra_relationship,last_seen,1,False,1,True
Which operating system does Mythic work on?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_platforms,6,False,6,True
What proactive measure can be taken to protect against Cerberus attacks?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,24,False,24,True
How can CORALDECK be identified and removed from a network?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,9,False,9,True
What platforms do the techniques employed by the Group5 typically target?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_platforms,7,False,7,True
What is the specific remote access trojan used by the SolarWinds Compromise?,single_hop_relationship_filter,uses_malware<SEP>filter RAT,1,False,1,True
What kind of actions does the Gorgon Group typically undertake?,single_hop_not_filter,uses_attack_pattern,22,False,22,True
What approach does the Mofang typically use to carry out its operations?,single_hop_not_filter,uses_attack_pattern,6,False,6,True
On which platform is Remote Device Management Services designed to function effectively?,intra_relationship,x_mitre_platforms,1,False,1,True
What are the outcomes of a modular backdoor's actions in a menuPass campaign?,multi_hop_relationship,is_responsible<SEP>uses_malware<SEP>filter modular and backdoor<SEP>uses_attack_pattern<SEP>x_mitre_impact_type,0,True,0,True
How does the RuMMS behave?,single_hop_not_filter,uses_attack_pattern,8,False,8,True
What are the typical behaviors associated with the UBoatRAT?,single_hop_not_filter,uses_attack_pattern,15,False,15,True
Can you tell me about the techniques used to detect RDAT?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,27,False,27,True
Which platform does Exfiltration Over Alternative Protocol target or operate on?,intra_relationship,x_mitre_platforms,2,False,2,True
What signs or symptoms indicate the presence of Calisto in a computer?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,32,False,32,True
What key component of cybersecurity helps to prevent and mitigate the attacks of Neoichor?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,22,False,22,True
Which key approach helps to neutralize the impact of TDTESS on a system?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,20,False,20,True
What method can effectively prevent and mitigate the damage caused by SMOKEDHAM?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,37,False,37,True
What options are available to prevent and mitigate the methods used by Metador?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,18,False,18,True
What are the domains where esentutl is most commonly found?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_platforms,6,False,6,True
What security measures are vulnerable to File and Directory Permissions Modification?,intra_relationship,x_mitre_defense_bypassed,1,False,1,True
What types of safeguards are typically outsmarted by Fakecalls tactics?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,3,False,3,True
What type of platform is Standard Encoding typically designed for?,intra_relationship,x_mitre_platforms,1,False,1,True
How can HUI Loader be identified and removed from a network?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,8,False,8,True
What are the primary characteristics of the WhisperGate's behavior?,single_hop_not_filter,uses_attack_pattern,33,False,33,True
"What asset is most vulnerable to the attack pattern that utilizes PowerShell scripts, which is characteristic of the FrozenCell?",multi_hop_relationship,uses_attack_pattern<SEP>filter PowerShell<SEP>targets,6,False,6,True
What type of platform is Stripped Payloads typically designed for?,intra_relationship,x_mitre_platforms,1,False,1,True
What countermeasure can be taken to minimize the effects of USBStealer on a computer network?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,35,False,35,True
What strategies can be employed to mitigate the impact of APT38's methods?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,75,False,75,True
"What asset is the primary target of the attack pattern that employs PowerShell scripts, a key component of the gh0st RAT?",multi_hop_relationship,uses_attack_pattern<SEP>filter PowerShell<SEP>targets,12,False,12,True
What kind of malicious software does a security strategy that employs encryption aim to counter or prevent?,multihop_no_entity,is_course_of_action_type<SEP>filter encryption<SEP>mitigates<SEP>used_by_malware,330,False,330,True
"What asset is the primary target of the attack pattern that employs PowerShell scripts, a key component of the FatDuke?",multi_hop_relationship,uses_attack_pattern<SEP>filter PowerShell<SEP>targets,6,False,6,True
What types of security measures can techniques employed by the Akira circumvent?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,2,False,2,True
On which platform is Container Administration Command typically deployed or executed?,intra_relationship,x_mitre_platforms,1,False,1,True
What methods can be used to identify Emissary?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,29,False,29,True
What are the key steps to prevent and mitigate the attacks carried out by Tonto Team?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,43,False,43,True
What are the primary characteristics of the Caterpillar WebShell's behavior?,single_hop_not_filter,uses_attack_pattern,15,False,15,True
What method can effectively prevent and mitigate the damage caused by ROKRAT?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,59,False,59,True
What is the main objective of Transmitted Data Manipulation?,intra_relationship,x_mitre_tactic_type,1,False,1,True
What types of safeguards are typically outsmarted by TYPEFRAME tactics?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,7,False,7,True
What tactics does the Inception employ?,single_hop_not_filter,uses_attack_pattern,23,False,23,True
What kinds of protection do SMOKEDHAM techniques usually sidestep?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,3,False,3,True
What is the primary platform that meek is intended for?,intra_relationship,x_mitre_platforms,1,False,1,True
How do Bumblebee attacks manage to evade detection by intrusion detection systems and other security software?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,13,False,13,True
Which platform serves as the primary focus for Social Media Accounts attacks?,intra_relationship,x_mitre_platforms,1,False,1,True
What is the nature of the Tropic Trooper's behavior?,single_hop_not_filter,uses_attack_pattern,45,False,45,True
In what ways do Tarrask techniques evade detection by firewalls and other security tools?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,4,False,4,True
Which platform is the target audience for RawDisk?,intra_relationship,x_mitre_platforms,1,False,1,True
What types of safeguards are typically outsmarted by Caterpillar WebShell tactics?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,3,False,3,True
What kind of behavior is characteristic of the Olympic Destroyer?,single_hop_not_filter,uses_attack_pattern,19,False,19,True
What are the outcomes of a modular backdoor's actions in a CopyKittens campaign?,multi_hop_relationship,is_responsible<SEP>uses_malware<SEP>filter modular and backdoor<SEP>uses_attack_pattern<SEP>x_mitre_impact_type,0,True,0,True
What malware is typically associated with the C0018?,single_hop_not_filter,uses_malware,2,False,2,True
What are the most effective countermeasures to prevent malware attacks that exploit SQL Injection vulnerabilities?,multihop_no_entity,is_malware_type<SEP>filter SQL<SEP>uses_attack_pattern<SEP>mitigated_by,24,False,24,True
Which platform does Match Legitimate Name or Location target or operate on?,intra_relationship,x_mitre_platforms,2,False,2,True
What defensive strategy is most effective in mitigating the risks associated with Heyoka Backdoor?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,23,False,23,True
How can the course of action that involves operating on Windows Registers help to prevent the attack pattern associated with BLINDINGCAN?,multi_hop_relationship,uses_attack_pattern<SEP>mitigates<SEP>filter Windows and Regist,3,False,3,True
"What types of defenses or security systems can Signed Script Proxy Execution compromise, disable, or bypass?",intra_relationship,x_mitre_defense_bypassed,2,False,2,True
In what way does the Umbreon operate?,single_hop_not_filter,uses_attack_pattern,8,False,8,True
"What asset is most vulnerable to the attack pattern that utilizes PowerShell scripts, which is characteristic of the RawPOS?",multi_hop_relationship,uses_attack_pattern<SEP>filter PowerShell<SEP>targets,6,False,6,True
How can one determine if a computer has been infected with TSCookie?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,19,False,19,True
What are the steps involved in identifying and removing Ursnif?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,39,False,39,True
What type of behavior is typical for the RedDrop?,single_hop_not_filter,uses_attack_pattern,15,False,15,True
Can you identify the security measures that techniques used by the Axiom can evade?,single_hop_not_filter,uses_attack_pattern<SEP>x_mitre_defense_bypassed,3,False,3,True
What are the repercussions of the malware attacks conducted by groups involved in C0017?,multi_hop_relationship,attributed_to<SEP>uses_malware<SEP>uses_attack_pattern<SEP>x_mitre_impact_type,1,True,1,True
What strategies can be employed to mitigate the impact of DarkHydrus's methods?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,20,False,20,True
What crucial tactic is employed to counter the threat posed by Mosquito?,multi_hop_relationship,uses_attack_pattern<SEP>mitigated_by,37,False,37,True
What are the typical behaviors associated with the Skidmap?,single_hop_not_filter,uses_attack_pattern,17,False,17,True
What methods can be used to identify RuMMS?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,9,False,9,True
What is the process of detecting and eliminating Cardinal RAT from a system?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,35,False,35,True
"What asset is the main focus of the attack pattern that incorporates PowerShell scripts, used by the ViperRAT?",multi_hop_relationship,uses_attack_pattern<SEP>filter PowerShell<SEP>targets,6,False,6,True
For which platform is Signed Binary Proxy Execution primarily intended?,intra_relationship,x_mitre_platforms,1,False,1,True
What are the steps involved in identifying and removing SYSCON?,single_hop_relationship_filter,uses_attack_pattern<SEP>detected_by,8,False,8,True
The FIN13 utilizes which tactic?,single_hop_not_filter,uses_attack_pattern,53,False,53,True
What type of platform is Remote System Discovery typically designed for?,intra_relationship,x_mitre_platforms,3,False,3,True
What actions does the BusyGasper take?,single_hop_not_filter,uses_attack_pattern,24,False,24,True
What are the typical behaviors associated with the AppleJeus?,single_hop_not_filter,uses_attack_pattern,20,False,20,True
What platform is Serverless specifically tailored for?,intra_relationship,x_mitre_platforms,1,False,1,True
What characteristics does the Charger exhibit?,single_hop_not_filter,uses_attack_pattern,7,False,7,True
