Question,Path,Section,FinalPath,TemplateKey,SkeletonKey
What are the unique impacts of RedLeaves and ViceLeaker on a system's stability?,<PATH>is_malware_type<SEP>select RedLeaves ViceLeaker<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type</PATH>,common_and_differences,is_malware_type<SEP>select RedLeaves ViceLeaker<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type
What security measures can be taken to mitigate the impact of DEADEYE and Kerrdown?,<PATH>is_malware_type<SEP>select DEADEYE Kerrdown<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action</PATH>,common_and_differences,is_malware_type<SEP>select DEADEYE Kerrdown<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action
What are the common security protocols used to prevent the spread of X-Agent for Android and HIDEDRV?,<PATH>is_malware_type<SEP>select X-Agent for Android HIDEDRV<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action</PATH>,common_and_differences,is_malware_type<SEP>select X-Agent for Android HIDEDRV<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action
What are the primary strategies employed by Kivars and Arp?,<PATH>is_tool_type<SEP>select Arp<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select Kivars<SEP>exec_difference attack_pattern</PATH>,common_and_differences,is_tool_type<SEP>select Arp<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select Kivars<SEP>exec_difference attack_pattern,common_and_differences||is_tool_type<SEP>select<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select<SEP>exec_difference attack_pattern,common_and_differences||is_tool_type<SEP>select<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select<SEP>exec_difference attack_pattern
How do Shark and POWERSOURCE cause varying degrees of harm to a system?,<PATH>is_malware_type<SEP>select Shark POWERSOURCE<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type</PATH>,common_and_differences,is_malware_type<SEP>select Shark POWERSOURCE<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type
What are the primary methods used by Mivast and Doki to infect computers?,<PATH>is_malware_type<SEP>select Mivast Doki<SEP>uses_attack_pattern<SEP>exec_common attack_pattern</PATH>,common_and_differences,is_malware_type<SEP>select Mivast Doki<SEP>uses_attack_pattern<SEP>exec_common attack_pattern,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>exec_common attack_pattern,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>exec_common attack_pattern
Enumerate the various methods employed by YAHOYAH and nbtstat.,<PATH>is_tool_type<SEP>select nbtstat<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select YAHOYAH<SEP>exec_difference attack_pattern</PATH>,common_and_differences,is_tool_type<SEP>select nbtstat<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select YAHOYAH<SEP>exec_difference attack_pattern,common_and_differences||is_tool_type<SEP>select<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select<SEP>exec_difference attack_pattern,common_and_differences||is_tool_type<SEP>select<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select<SEP>exec_difference attack_pattern
What types of systems are commonly exploited by ADVSTORESHELL and Samurai in a cyber attack?,<PATH>is_malware_type<SEP>select ADVSTORESHELL Samurai<SEP>uses_attack_pattern<SEP>targets<SEP>exec_common x_mitre_asset</PATH>,common_and_differences,is_malware_type<SEP>select ADVSTORESHELL Samurai<SEP>uses_attack_pattern<SEP>targets<SEP>exec_common x_mitre_asset,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>targets<SEP>exec_common x_mitre_asset,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>targets<SEP>exec_common x_mitre_asset
What security solutions are commonly used to block and remove GoldenEagle and Stealth Mango?,<PATH>is_malware_type<SEP>select GoldenEagle Stealth Mango<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action</PATH>,common_and_differences,is_malware_type<SEP>select GoldenEagle Stealth Mango<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action
What are the primary detection methods used to identify and remove FoggyWeb and Gazer?,<PATH>is_malware_type<SEP>select FoggyWeb Gazer<SEP>uses_attack_pattern<SEP>detected_by<SEP>exec_common x_mitre_data_component</PATH>,common_and_differences,is_malware_type<SEP>select FoggyWeb Gazer<SEP>uses_attack_pattern<SEP>detected_by<SEP>exec_common x_mitre_data_component,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>detected_by<SEP>exec_common x_mitre_data_component,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>detected_by<SEP>exec_common x_mitre_data_component
What are the key similarities in techniques between FatDuke and PoshC2?,<PATH>is_tool_type<SEP>select PoshC2<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select FatDuke<SEP>exec_common attack_pattern</PATH>,common_and_differences,is_tool_type<SEP>select PoshC2<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select FatDuke<SEP>exec_common attack_pattern,common_and_differences||is_tool_type<SEP>select<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select<SEP>exec_common attack_pattern,common_and_differences||is_tool_type<SEP>select<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select<SEP>exec_common attack_pattern
What countermeasures can be used to neutralize the threat posed by Kwampirs and Pysa?,<PATH>is_malware_type<SEP>select Kwampirs Pysa<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action</PATH>,common_and_differences,is_malware_type<SEP>select Kwampirs Pysa<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action
What are the typical security precautions taken to prevent and mitigate the impact of Calisto and EventBot?,<PATH>is_malware_type<SEP>select Calisto EventBot<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action</PATH>,common_and_differences,is_malware_type<SEP>select Calisto EventBot<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action
How do SharpDisco and X-Agent for Android impact system performance and stability?,<PATH>is_malware_type<SEP>select SharpDisco X-Agent for Android<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_common x_mitre_impact_type</PATH>,common_and_differences,is_malware_type<SEP>select SharpDisco X-Agent for Android<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_common x_mitre_impact_type,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_common x_mitre_impact_type,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_common x_mitre_impact_type
What security solutions are commonly used to block and remove Regin and BBK?,<PATH>is_malware_type<SEP>select Regin BBK<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action</PATH>,common_and_differences,is_malware_type<SEP>select Regin BBK<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action
How do TERRACOTTA and CCBkdr differ in their impact on a network's performance?,<PATH>is_malware_type<SEP>select TERRACOTTA CCBkdr<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type</PATH>,common_and_differences,is_malware_type<SEP>select TERRACOTTA CCBkdr<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type
What are the common techniques used by security software to detect and neutralize ABK and KeyBoy?,<PATH>is_malware_type<SEP>select ABK KeyBoy<SEP>uses_attack_pattern<SEP>detected_by<SEP>exec_common x_mitre_data_component</PATH>,common_and_differences,is_malware_type<SEP>select ABK KeyBoy<SEP>uses_attack_pattern<SEP>detected_by<SEP>exec_common x_mitre_data_component,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>detected_by<SEP>exec_common x_mitre_data_component,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>detected_by<SEP>exec_common x_mitre_data_component
"What strategies can be implemented to safeguard against MacMa and Cheerscrypt, and do they share any commonalities?",<PATH>is_malware_type<SEP>select MacMa Cheerscrypt<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action</PATH>,common_and_differences,is_malware_type<SEP>select MacMa Cheerscrypt<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action
What techniques do PlugX and Expand have in common?,<PATH>is_tool_type<SEP>select Expand<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select PlugX<SEP>exec_common attack_pattern</PATH>,common_and_differences,is_tool_type<SEP>select Expand<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select PlugX<SEP>exec_common attack_pattern,common_and_differences||is_tool_type<SEP>select<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select<SEP>exec_common attack_pattern,common_and_differences||is_tool_type<SEP>select<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select<SEP>exec_common attack_pattern
What are the primary detection methods used to identify and remove DanBot and Chaes?,<PATH>is_malware_type<SEP>select DanBot Chaes<SEP>uses_attack_pattern<SEP>detected_by<SEP>exec_common x_mitre_data_component</PATH>,common_and_differences,is_malware_type<SEP>select DanBot Chaes<SEP>uses_attack_pattern<SEP>detected_by<SEP>exec_common x_mitre_data_component,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>detected_by<SEP>exec_common x_mitre_data_component,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>detected_by<SEP>exec_common x_mitre_data_component
How do the methods of COATHANGER and esentutl intersect or converge?,<PATH>is_tool_type<SEP>select esentutl<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select COATHANGER<SEP>exec_common attack_pattern</PATH>,common_and_differences,is_tool_type<SEP>select esentutl<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select COATHANGER<SEP>exec_common attack_pattern,common_and_differences||is_tool_type<SEP>select<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select<SEP>exec_common attack_pattern,common_and_differences||is_tool_type<SEP>select<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select<SEP>exec_common attack_pattern
What are the overlapping techniques between Explosive and MCMD?,<PATH>is_tool_type<SEP>select MCMD<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select Explosive<SEP>exec_common attack_pattern</PATH>,common_and_differences,is_tool_type<SEP>select MCMD<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select Explosive<SEP>exec_common attack_pattern,common_and_differences||is_tool_type<SEP>select<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select<SEP>exec_common attack_pattern,common_and_differences||is_tool_type<SEP>select<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select<SEP>exec_common attack_pattern
What effects do KillDisk and SideTwist typically have on a system?,<PATH>is_malware_type<SEP>select KillDisk SideTwist<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_common x_mitre_impact_type</PATH>,common_and_differences,is_malware_type<SEP>select KillDisk SideTwist<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_common x_mitre_impact_type,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_common x_mitre_impact_type,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_common x_mitre_impact_type
What are some of the typical behaviors exhibited by ZIPLINE and Darkmoon in a compromised system?,<PATH>is_malware_type<SEP>select ZIPLINE Darkmoon<SEP>uses_attack_pattern<SEP>exec_common attack_pattern</PATH>,common_and_differences,is_malware_type<SEP>select ZIPLINE Darkmoon<SEP>uses_attack_pattern<SEP>exec_common attack_pattern,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>exec_common attack_pattern,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>exec_common attack_pattern
What are the primary techniques associated with Wingbird and AdFind?,<PATH>is_tool_type<SEP>select AdFind<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select Wingbird<SEP>exec_difference attack_pattern</PATH>,common_and_differences,is_tool_type<SEP>select AdFind<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select Wingbird<SEP>exec_difference attack_pattern,common_and_differences||is_tool_type<SEP>select<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select<SEP>exec_difference attack_pattern,common_and_differences||is_tool_type<SEP>select<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>select<SEP>exec_difference attack_pattern
What are the typical targets of NDiskMonitor and ShimRat in a cyber attack?,<PATH>is_malware_type<SEP>select NDiskMonitor ShimRat<SEP>uses_attack_pattern<SEP>targets<SEP>exec_common x_mitre_asset</PATH>,common_and_differences,is_malware_type<SEP>select NDiskMonitor ShimRat<SEP>uses_attack_pattern<SEP>targets<SEP>exec_common x_mitre_asset,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>targets<SEP>exec_common x_mitre_asset,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>targets<SEP>exec_common x_mitre_asset
How do ransomware and spyware usually operate?,<PATH>is_malware_type<SEP>filter spyware<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>filter ransomware<SEP>exec_common attack pattern</PATH>,common_and_differences,is_malware_type<SEP>filter spyware<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>filter ransomware<SEP>exec_common attack pattern,common_and_differences||is_malware_type<SEP>filter spyware<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>filter ransomware<SEP>exec_common attack pattern,common_and_differences||is_malware_type<SEP>filter<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>filter<SEP>exec_common attack pattern
What are the typical defense strategies used against BlackCat and VaporRage?,<PATH>is_malware_type<SEP>select BlackCat VaporRage<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action</PATH>,common_and_differences,is_malware_type<SEP>select BlackCat VaporRage<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action
What are the common techniques used by security software to detect and neutralize Triada and PUNCHBUGGY?,<PATH>is_malware_type<SEP>select Triada PUNCHBUGGY<SEP>uses_attack_pattern<SEP>detected_by<SEP>exec_common x_mitre_data_component</PATH>,common_and_differences,is_malware_type<SEP>select Triada PUNCHBUGGY<SEP>uses_attack_pattern<SEP>detected_by<SEP>exec_common x_mitre_data_component,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>detected_by<SEP>exec_common x_mitre_data_component,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>detected_by<SEP>exec_common x_mitre_data_component
What are the effects of Azorult and ThiefQuest on system security?,<PATH>is_malware_type<SEP>select Azorult ThiefQuest<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type</PATH>,common_and_differences,is_malware_type<SEP>select Azorult ThiefQuest<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type
What are the distinct effects of OutSteel and Zeus Panda on a computer?,<PATH>is_malware_type<SEP>select OutSteel Zeus Panda<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type</PATH>,common_and_differences,is_malware_type<SEP>select OutSteel Zeus Panda<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type
What are the key methods used by ransomware and spyware to compromise systems?,<PATH>is_malware_type<SEP>filter spyware<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>filter ransomware<SEP>exec_common attack pattern</PATH>,common_and_differences,is_malware_type<SEP>filter spyware<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>filter ransomware<SEP>exec_common attack pattern,common_and_differences||is_malware_type<SEP>filter spyware<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>filter ransomware<SEP>exec_common attack pattern,common_and_differences||is_malware_type<SEP>filter<SEP>uses_attack_pattern<SEP>used_by_malware<SEP>filter<SEP>exec_common attack pattern
"What measures can be taken to prevent the spread of Phenakite, and are there any common countermeasures that can be applied to Action RAT as well?",<PATH>is_malware_type<SEP>select Phenakite Action RAT<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action</PATH>,common_and_differences,is_malware_type<SEP>select Phenakite Action RAT<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>mitigated_by<SEP>exec_common course_of_action
What are the consequences of installing ShiftyBug versus gh0st?,<PATH>is_malware_type<SEP>select ShiftyBug gh0st<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type</PATH>,common_and_differences,is_malware_type<SEP>select ShiftyBug gh0st<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type,common_and_differences||is_malware_type<SEP>select<SEP>uses_attack_pattern<SEP>x_mitre_impact_type<SEP>exec_difference x_mitre_impact_type
