Question,Path,Section
What are the primary detection techniques for RaaS malware utilized by FIN8?,<PATH>uses_malware<SEP>filter RaaS<SEP>uses_attack_pattern<SEP>detected_by</PATH>,multihop_one_entity_filter
What Office-based techniques are employed by Android/AdDisplay.Ashas to gain unauthorized access?,<PATH>uses_attack_pattern<SEP>filter Office</PATH>,multihop_one_entity_filter
What types of systems are usually targeted by in-memory malware used in Operation CuckooBees as part of the Operation CuckooBees?,<PATH>uses_malware<SEP>filter in-memory<SEP>uses_attack_pattern<SEP>targets</PATH>,multihop_one_entity_filter
What Office-based techniques are employed by Cadelspy to gain unauthorized access?,<PATH>uses_attack_pattern<SEP>filter Office</PATH>,multihop_one_entity_filter
What are some of the common attack vectors employed by Netwalker that involve Group Policy Objects?,<PATH>uses_attack_pattern<SEP>filter GPO</PATH>,multihop_one_entity_filter
What techniques do Blue Mockingbird use to implement ABAC policies in their operations?,<PATH>uses_attack_pattern<SEP>filter ABAC</PATH>,multihop_one_entity_filter
What are the key features of the attacks conducted by GoldenEagle that utilize Active Directories?,<PATH>uses_attack_pattern<SEP>filter Active and Directory</PATH>,multihop_one_entity_filter
What malicious activities do PowerLess engage in that utilize Wake-on-LAN?,<PATH>uses_attack_pattern<SEP>filter Wake-on-LAN</PATH>,multihop_one_entity_filter
What types of attacks do Ursnif use to infiltrate Active Directories?,<PATH>uses_attack_pattern<SEP>filter Active and Directory</PATH>,multihop_one_entity_filter
What Office-based techniques are employed by Dacls to gain unauthorized access?,<PATH>uses_attack_pattern<SEP>filter Office</PATH>,multihop_one_entity_filter
Which platforms are commonly affected by the backdoor malware used by Threat Group-3390 and what are the implications of this?,<PATH>uses_malware<SEP>filter backdoor<SEP>uses_attack_pattern<SEP>x_mitre_platforms</PATH>,multihop_one_entity_filter
What platforms are commonly targeted by trojans in a typical SolarWinds Compromise?,<PATH>uses_malware<SEP>filter trojan<SEP>uses_attack_pattern<SEP>x_mitre_platforms</PATH>,multihop_one_entity_filter
What types of attacks do ServHelper use to infiltrate Active Directories?,<PATH>uses_attack_pattern<SEP>filter Active and Directory</PATH>,multihop_one_entity_filter
Which HermeticWiper attacks utilize the AttachUserPolicy API for malicious purposes?,<PATH>uses_attack_pattern<SEP>filter AttachUserPolicy</PATH>,multihop_one_entity_filter
What techniques do Remsec typically employ that utilize Office?,<PATH>uses_attack_pattern<SEP>filter Office</PATH>,multihop_one_entity_filter
What are the techniques that involve token stealing and are used by Cobalt Strike to gain unauthorized access?,<PATH>uses_attack_pattern<SEP>filter token and steal</PATH>,multihop_one_entity_filter
What are the specific attacks launched by Ursnif that leverage the AttachUserPolicy API?,<PATH>uses_attack_pattern<SEP>filter AttachUserPolicy</PATH>,multihop_one_entity_filter
Which LockerGoga threats rely on the AttachUserPolicy API to carry out their malicious activities?,<PATH>uses_attack_pattern<SEP>filter AttachUserPolicy</PATH>,multihop_one_entity_filter
What types of malware are commonly used in C0018 to target IoT devices?,<PATH>uses_malware<SEP>filter IoT<SEP>uses_attack_pattern</PATH>,multihop_one_entity_filter
Which operating systems are commonly targeted by the worms utilized by Bouncing Golf?,<PATH>uses_malware<SEP>filter worm<SEP>uses_attack_pattern<SEP>x_mitre_platforms</PATH>,multihop_one_entity_filter
What malicious activities do Torisma engage in that utilize Wake-on-LAN?,<PATH>uses_attack_pattern<SEP>filter Wake-on-LAN</PATH>,multihop_one_entity_filter
What types of malware written in.NET are typically associated with the APT18 campaign?,<PATH>is_responsible<SEP>uses_malware<SEP>filter .NET<SEP>uses_attack_pattern</PATH>,multihop_one_entity_filter
How do attackers using Chameleon exploit Group Policy Objects to launch their malicious attacks?,<PATH>uses_attack_pattern<SEP>filter GPO</PATH>,multihop_one_entity_filter
What.NET malware techniques have been observed in the LuminousMoth campaign?,<PATH>is_responsible<SEP>uses_malware<SEP>filter .NET<SEP>uses_attack_pattern</PATH>,multihop_one_entity_filter
What types of platforms or systems are vulnerable to the spyware techniques used by HEXANE?,<PATH>uses_malware<SEP>filter spyware<SEP>uses_attack_pattern<SEP>x_mitre_platforms</PATH>,multihop_one_entity_filter
Which HenBox attacks exploit vulnerabilities in the AttachUserPolicy API to gain control?,<PATH>uses_attack_pattern<SEP>filter AttachUserPolicy</PATH>,multihop_one_entity_filter
What types of attacks are associated with the Suckfly that utilize the CreatePolicyVersion API?,<PATH>uses_attack_pattern<SEP>filter CreatePolicyVersion</PATH>,multihop_one_entity_filter
What are the key features of the attacks conducted by HenBox that utilize Active Directories?,<PATH>uses_attack_pattern<SEP>filter Active and Directory</PATH>,multihop_one_entity_filter
What types of attacks do CreepySnail utilize that leverage Active Directories?,<PATH>uses_attack_pattern<SEP>filter Active and Directory</PATH>,multihop_one_entity_filter
What Office-based tactics do ECCENTRICBANDWAGON use to compromise systems?,<PATH>uses_attack_pattern<SEP>filter Office</PATH>,multihop_one_entity_filter
Identify the.NET malware methods used in the CostaRicto campaign.,<PATH>is_responsible<SEP>uses_malware<SEP>filter .NET<SEP>uses_attack_pattern</PATH>,multihop_one_entity_filter
What types of attacks do Tiktok Pro employ that utilize Wake-on-LAN?,<PATH>uses_attack_pattern<SEP>filter Wake-on-LAN</PATH>,multihop_one_entity_filter
Which Office-based techniques are commonly used by Javali?,<PATH>uses_attack_pattern<SEP>filter Office</PATH>,multihop_one_entity_filter
What are the Office-related methods used by HDoor to spread malware?,<PATH>uses_attack_pattern<SEP>filter Office</PATH>,multihop_one_entity_filter
What malicious operations utilize Wake-on-LAN and are perpetrated by GoldFinder?,<PATH>uses_attack_pattern<SEP>filter Wake-on-LAN</PATH>,multihop_one_entity_filter
What techniques of token stealing are typically used by HAPPYWORK to achieve their goals?,<PATH>uses_attack_pattern<SEP>filter token and steal</PATH>,multihop_one_entity_filter
What are some of the common attack vectors employed by Umbreon that involve Group Policy Objects?,<PATH>uses_attack_pattern<SEP>filter GPO</PATH>,multihop_one_entity_filter
What are the characteristics of the attacks perpetrated by DarkComet that use the AttachUserPolicy API as a key tool?,<PATH>uses_attack_pattern<SEP>filter AttachUserPolicy</PATH>,multihop_one_entity_filter
In what ways do attackers leverage Trojan-SMS.AndroidOS.FakeInst.a to compromise systems using Group Policy Objects?,<PATH>uses_attack_pattern<SEP>filter GPO</PATH>,multihop_one_entity_filter
Which malware techniques are specifically designed to exploit vulnerabilities in IoT devices during Operation Honeybee?,<PATH>uses_malware<SEP>filter IoT<SEP>uses_attack_pattern</PATH>,multihop_one_entity_filter
Which attacks launched by Ember Bear utilize MQTT for communication?,<PATH>uses_attack_pattern<SEP>filter MQTT</PATH>,multihop_one_entity_filter
What systems are typically the focus of in-memory malware attacks carried out in C0032?,<PATH>uses_malware<SEP>filter in-memory<SEP>uses_attack_pattern<SEP>targets</PATH>,multihop_one_entity_filter
Which AndroRAT attacks exploit Active Directories as a means of execution?,<PATH>uses_attack_pattern<SEP>filter Active and Directory</PATH>,multihop_one_entity_filter
Which operating systems are commonly targeted by the worms utilized by Cleaver?,<PATH>uses_malware<SEP>filter worm<SEP>uses_attack_pattern<SEP>x_mitre_platforms</PATH>,multihop_one_entity_filter
Which Office-based techniques are commonly used by HermeticWiper?,<PATH>uses_attack_pattern<SEP>filter Office</PATH>,multihop_one_entity_filter
What are the MQTT-enabled attacks perpetrated by Winnti Group?,<PATH>uses_attack_pattern<SEP>filter MQTT</PATH>,multihop_one_entity_filter
What are the specific attacks employed by Scarlet Mimic that utilize net group as a key component?,<PATH>uses_attack_pattern<SEP>filter net and group</PATH>,multihop_one_entity_filter
What are the specific attacks launched by Lizar that leverage the AttachUserPolicy API?,<PATH>uses_attack_pattern<SEP>filter AttachUserPolicy</PATH>,multihop_one_entity_filter
What types of attacks do JCry typically employ that involve utilizing Group Policy Objects?,<PATH>uses_attack_pattern<SEP>filter GPO</PATH>,multihop_one_entity_filter
What techniques are employed by Charming Kitten that are subject to ABAC policies for access management?,<PATH>uses_attack_pattern<SEP>filter ABAC</PATH>,multihop_one_entity_filter
What are the techniques that involve token stealing and are used by Snip3 to gain unauthorized access?,<PATH>uses_attack_pattern<SEP>filter token and steal</PATH>,multihop_one_entity_filter
What are some examples of DDKONG attacks that use the AttachUserPolicy API as a key component?,<PATH>uses_attack_pattern<SEP>filter AttachUserPolicy</PATH>,multihop_one_entity_filter
What are the characteristics of.NET malware involved in the Winnti Group campaign?,<PATH>is_responsible<SEP>uses_malware<SEP>filter .NET<SEP>uses_attack_pattern</PATH>,multihop_one_entity_filter
What are the attacks executed by APT34 that utilize the net group protocol?,<PATH>uses_attack_pattern<SEP>filter net and group</PATH>,multihop_one_entity_filter
What kinds of attacks involve the use of Wake-on-LAN by IceApple for malicious purposes?,<PATH>uses_attack_pattern<SEP>filter Wake-on-LAN</PATH>,multihop_one_entity_filter
What C or C++ malware techniques are characteristic of EXOTIC LILY's attacks?,<PATH>uses_malware<SEP>filter C or C++<SEP>uses_attack_pattern</PATH>,multihop_one_entity_filter
Which RunningRAT attacks exploit Active Directories as a means of execution?,<PATH>uses_attack_pattern<SEP>filter Active and Directory</PATH>,multihop_one_entity_filter
 What platforms do the techniques of trojan employed in Unitronics Defacement Campaign utilize?,<PATH>uses_malware<SEP>filter trojan<SEP>uses_attack_pattern<SEP>x_mitre_platforms</PATH>,multihop_one_entity_filter
Which.NET-based malware techniques are commonly linked to the Mustard Tempest intrusion set?,<PATH>is_responsible<SEP>uses_malware<SEP>filter .NET<SEP>uses_attack_pattern</PATH>,multihop_one_entity_filter
What types of attacks are associated with the Windigo that utilize the CreatePolicyVersion API?,<PATH>uses_attack_pattern<SEP>filter CreatePolicyVersion</PATH>,multihop_one_entity_filter
What techniques of token stealing are typically associated with RedDrop?,<PATH>uses_attack_pattern<SEP>filter token and steal</PATH>,multihop_one_entity_filter
In what environments do the backdoor techniques used by CURIUM usually operate?,<PATH>uses_malware<SEP>filter backdoor<SEP>uses_attack_pattern<SEP>x_mitre_platforms</PATH>,multihop_one_entity_filter
What types of attacks are associated with the Honeybee that utilize the CreatePolicyVersion API?,<PATH>uses_attack_pattern<SEP>filter CreatePolicyVersion</PATH>,multihop_one_entity_filter
What is the nature of the attacks launched by XcodeGhost that utilize the AttachUserPolicy API?,<PATH>uses_attack_pattern<SEP>filter AttachUserPolicy</PATH>,multihop_one_entity_filter
What types of targets are typically associated with malware designed to attack Industrial Control Systems (ICS) devices used by Strider?,<PATH>uses_malware<SEP>filter ICS<SEP>uses_attack_pattern<SEP>targets</PATH>,multihop_one_entity_filter
"Which techniques, often used by Shark, involve the Office software suite?",<PATH>uses_attack_pattern<SEP>filter Office</PATH>,multihop_one_entity_filter
What platforms or environments are most commonly affected by the spyware techniques of Carbanak?,<PATH>uses_malware<SEP>filter spyware<SEP>uses_attack_pattern<SEP>x_mitre_platforms</PATH>,multihop_one_entity_filter
What are the token stealing techniques that are commonly employed by Cobian RAT to compromise security?,<PATH>uses_attack_pattern<SEP>filter token and steal</PATH>,multihop_one_entity_filter
How do Flame attacks exploit the AttachUserPolicy API to gain unauthorized access?,<PATH>uses_attack_pattern<SEP>filter AttachUserPolicy</PATH>,multihop_one_entity_filter
What types of attacks do Tonto Team typically employ that utilize MQTT?,<PATH>uses_attack_pattern<SEP>filter MQTT</PATH>,multihop_one_entity_filter
Which techniques are employed by Dark Caracal to enforce ABAC policies?,<PATH>uses_attack_pattern<SEP>filter ABAC</PATH>,multihop_one_entity_filter
What types of attacks do OldBoot carry out that involve the Wake-on-LAN functionality?,<PATH>uses_attack_pattern<SEP>filter Wake-on-LAN</PATH>,multihop_one_entity_filter
What are the methods by which China Chopper executes attacks that target Active Directories?,<PATH>uses_attack_pattern<SEP>filter Active and Directory</PATH>,multihop_one_entity_filter
What types of attacks are associated with the Dragonfly 2.0 that utilize the CreatePolicyVersion API?,<PATH>uses_attack_pattern<SEP>filter CreatePolicyVersion</PATH>,multihop_one_entity_filter
Can you identify the attacks that Smoke Loader employs using Active Directories?,<PATH>uses_attack_pattern<SEP>filter Active and Directory</PATH>,multihop_one_entity_filter
What types of systems are typically targeted by malware designed to compromise ICS devices used by Windigo?,<PATH>uses_malware<SEP>filter ICS<SEP>uses_attack_pattern<SEP>targets</PATH>,multihop_one_entity_filter
What Kubernetes-based techniques does Charming Kitten employ?,<PATH>uses_attack_pattern<SEP>filter Kubernetes</PATH>,multihop_one_entity_filter
"Which attacks, perpetrated by Carberp, rely on Active Directories?",<PATH>uses_attack_pattern<SEP>filter Active and Directory</PATH>,multihop_one_entity_filter
What are the attacks conducted by Confucius that make use of the CreatePolicyVersion API?,<PATH>uses_attack_pattern<SEP>filter CreatePolicyVersion</PATH>,multihop_one_entity_filter
How do you identify and detect RaaS malware used by Wizard Spider?,<PATH>uses_malware<SEP>filter RaaS<SEP>uses_attack_pattern<SEP>detected_by</PATH>,multihop_one_entity_filter
Which Sykipot attacks utilize the AttachUserPolicy API for malicious purposes?,<PATH>uses_attack_pattern<SEP>filter AttachUserPolicy</PATH>,multihop_one_entity_filter
What are the essential steps for defending against.NET malware used by Taidoor?,<PATH>uses_malware<SEP>filter .NET<SEP>uses_attack_pattern<SEP>mitigated_by</PATH>,multihop_one_entity_filter
What Office-based techniques are employed by MechaFlounder to gain unauthorized access?,<PATH>uses_attack_pattern<SEP>filter Office</PATH>,multihop_one_entity_filter
What are the specific attacks employed by Mofang that make use of MQTT protocol?,<PATH>uses_attack_pattern<SEP>filter MQTT</PATH>,multihop_one_entity_filter
Which systems are commonly targeted by malware used to steal login credentials in C0032?,<PATH>uses_malware<SEP>filter steal and credentials<SEP>uses_attack_pattern<SEP>targets</PATH>,multihop_one_entity_filter
"What are some of the common techniques used by malware, used in Operation Honeybee, that involve SQL Injection?",<PATH>uses_malware<SEP>filter SQL<SEP>uses_attack_pattern</PATH>,multihop_one_entity_filter
What techniques of token stealing are typically used by ADVSTORESHELL to achieve their goals?,<PATH>uses_attack_pattern<SEP>filter token and steal</PATH>,multihop_one_entity_filter
Which Office-based techniques are commonly used by DualToy?,<PATH>uses_attack_pattern<SEP>filter Office</PATH>,multihop_one_entity_filter
Which platforms are vulnerable to the backdoor attacks carried out by Bouncing Golf?,<PATH>uses_malware<SEP>filter backdoor<SEP>uses_attack_pattern<SEP>x_mitre_platforms</PATH>,multihop_one_entity_filter
What types of attacks do S.O.V.A. utilize that leverage Active Directories?,<PATH>uses_attack_pattern<SEP>filter Active and Directory</PATH>,multihop_one_entity_filter
On which platforms do the techniques used by the worm in C0015 typically manifest?,<PATH>uses_malware<SEP>filter worm<SEP>uses_attack_pattern<SEP>x_mitre_platforms</PATH>,multihop_one_entity_filter
What types of attacks do SpicyOmelette employ that utilize Wake-on-LAN?,<PATH>uses_attack_pattern<SEP>filter Wake-on-LAN</PATH>,multihop_one_entity_filter
What are the token stealing techniques that are commonly employed by FlawedAmmyy to compromise security?,<PATH>uses_attack_pattern<SEP>filter token and steal</PATH>,multihop_one_entity_filter
What techniques of token stealing are typically used by Daserf to achieve their goals?,<PATH>uses_attack_pattern<SEP>filter token and steal</PATH>,multihop_one_entity_filter
Which Dipsind threats rely on the AttachUserPolicy API to carry out their malicious activities?,<PATH>uses_attack_pattern<SEP>filter AttachUserPolicy</PATH>,multihop_one_entity_filter
What are the attacks executed by DragonOK that rely on the CreatePolicyVersion API?,<PATH>uses_attack_pattern<SEP>filter CreatePolicyVersion</PATH>,multihop_one_entity_filter
"Which techniques, often used by InnaputRAT, involve the Office software suite?",<PATH>uses_attack_pattern<SEP>filter Office</PATH>,multihop_one_entity_filter
Which platforms are the primary focus of trojan attacks during a CostaRicto?,<PATH>uses_malware<SEP>filter trojan<SEP>uses_attack_pattern<SEP>x_mitre_platforms</PATH>,multihop_one_entity_filter
What techniques does APT28 use that integrate with Kubernetes?,<PATH>uses_attack_pattern<SEP>filter Kubernetes</PATH>,multihop_one_entity_filter
What are some common techniques used by Kerrdown that involve Office applications?,<PATH>uses_attack_pattern<SEP>filter Office</PATH>,multihop_one_entity_filter
How do Samurai attacks exploit the AttachUserPolicy API to gain unauthorized access?,<PATH>uses_attack_pattern<SEP>filter AttachUserPolicy</PATH>,multihop_one_entity_filter
Which TianySpy attacks exploit vulnerabilities in the AttachUserPolicy API to gain control?,<PATH>uses_attack_pattern<SEP>filter AttachUserPolicy</PATH>,multihop_one_entity_filter
Which malicious activities involve the use of Wake-on-LAN by NightClub?,<PATH>uses_attack_pattern<SEP>filter Wake-on-LAN</PATH>,multihop_one_entity_filter
What are the typical platforms affected by the backdoor malware used by Putter Panda?,<PATH>uses_malware<SEP>filter backdoor<SEP>uses_attack_pattern<SEP>x_mitre_platforms</PATH>,multihop_one_entity_filter
Which malicious activities involve the use of Wake-on-LAN by Dipsind?,<PATH>uses_attack_pattern<SEP>filter Wake-on-LAN</PATH>,multihop_one_entity_filter
What are the token stealing methods employed by Hacking Team UEFI Rootkit?,<PATH>uses_attack_pattern<SEP>filter token and steal</PATH>,multihop_one_entity_filter
Which attacks launched by Frankenstein utilize MQTT for communication?,<PATH>uses_attack_pattern<SEP>filter MQTT</PATH>,multihop_one_entity_filter
What methods do malware from APT5 employ to execute SQL Injection attacks?,<PATH>uses_malware<SEP>filter SQL<SEP>uses_attack_pattern</PATH>,multihop_one_entity_filter
What are the primary mechanisms by which PowGoop attackers exploit Group Policy Objects to launch their attacks?,<PATH>uses_attack_pattern<SEP>filter GPO</PATH>,multihop_one_entity_filter
What techniques of token stealing are typically associated with CloudDuke?,<PATH>uses_attack_pattern<SEP>filter token and steal</PATH>,multihop_one_entity_filter
Which security measures can be taken to counter malware that use VBS scripts in SolarWinds Compromise?,<PATH>uses_malware<SEP>filter VBS<SEP>uses_attack_pattern<SEP>mitigated_by</PATH>,multihop_one_entity_filter
What types of attacks do Rocke typically employ that utilize MQTT?,<PATH>uses_attack_pattern<SEP>filter MQTT</PATH>,multihop_one_entity_filter
What are the typical targets of the RPC-based backdoor exploited by Group5 in a cyber attack?,<PATH>uses_malware<SEP>filter RPC-based backdoor<SEP>uses_attack_pattern<SEP>targets</PATH>,multihop_one_entity_filter
Which types of malicious activities carried out by Prikormka rely on the use of Group Policy Objects?,<PATH>uses_attack_pattern<SEP>filter GPO</PATH>,multihop_one_entity_filter
What are the primary types of attacks that IceApple conducts using Group Policy Objects as a key component?,<PATH>uses_attack_pattern<SEP>filter GPO</PATH>,multihop_one_entity_filter
What are the specific attacks launched by Crutch that leverage the AttachUserPolicy API?,<PATH>uses_attack_pattern<SEP>filter AttachUserPolicy</PATH>,multihop_one_entity_filter
What types of attacks do gh0st employ that utilize Wake-on-LAN?,<PATH>uses_attack_pattern<SEP>filter Wake-on-LAN</PATH>,multihop_one_entity_filter
Which ViceLeaker attacks utilize the AttachUserPolicy API for malicious purposes?,<PATH>uses_attack_pattern<SEP>filter AttachUserPolicy</PATH>,multihop_one_entity_filter
What are the key features of the attacks conducted by ANDROIDOS_ANSERVER.A that utilize Active Directories?,<PATH>uses_attack_pattern<SEP>filter Active and Directory</PATH>,multihop_one_entity_filter
Which malicious attacks carried out by Cadelspy utilize Group Policy Objects as a mechanism?,<PATH>uses_attack_pattern<SEP>filter GPO</PATH>,multihop_one_entity_filter
What are the common targets of the RPC-based backdoor used by Dark Caracal?,<PATH>uses_malware<SEP>filter RPC-based backdoor<SEP>uses_attack_pattern<SEP>targets</PATH>,multihop_one_entity_filter
What are the primary platforms of operation for the worms employed by Moses Staff?,<PATH>uses_malware<SEP>filter worm<SEP>uses_attack_pattern<SEP>x_mitre_platforms</PATH>,multihop_one_entity_filter
What systems are typically targeted by malware used to infiltrate ICS devices operated by the menuPass group?,<PATH>uses_malware<SEP>filter ICS<SEP>uses_attack_pattern<SEP>targets</PATH>,multihop_one_entity_filter
Which BabyShark threats rely on the AttachUserPolicy API to carry out their malicious activities?,<PATH>uses_attack_pattern<SEP>filter AttachUserPolicy</PATH>,multihop_one_entity_filter
What methods of C or C++ malware are utilized by Turla?,<PATH>uses_malware<SEP>filter C or C++<SEP>uses_attack_pattern</PATH>,multihop_one_entity_filter
Which.NET malware techniques are characteristic of the menuPass intrusion set?,<PATH>is_responsible<SEP>uses_malware<SEP>filter .NET<SEP>uses_attack_pattern</PATH>,multihop_one_entity_filter
In what ways do attackers leverage MoleNet to compromise systems using Group Policy Objects?,<PATH>uses_attack_pattern<SEP>filter GPO</PATH>,multihop_one_entity_filter
What techniques involve token stealing and are employed by MAZE?,<PATH>uses_attack_pattern<SEP>filter token and steal</PATH>,multihop_one_entity_filter
What types of attacks do Raindrop utilize that leverage Active Directories?,<PATH>uses_attack_pattern<SEP>filter Active and Directory</PATH>,multihop_one_entity_filter
How do Mustang Panda use C or C++ malware techniques?,<PATH>uses_malware<SEP>filter C or C++<SEP>uses_attack_pattern</PATH>,multihop_one_entity_filter
What are the primary detection techniques for RaaS malware utilized by Andariel?,<PATH>uses_malware<SEP>filter RaaS<SEP>uses_attack_pattern<SEP>detected_by</PATH>,multihop_one_entity_filter
How do Catchamas exploit Office for malicious purposes?,<PATH>uses_attack_pattern<SEP>filter Office</PATH>,multihop_one_entity_filter
What are the key strategies for detecting and mitigating RaaS malware used by CopyKittens?,<PATH>uses_malware<SEP>filter RaaS<SEP>uses_attack_pattern<SEP>detected_by</PATH>,multihop_one_entity_filter
What are the tactics used by TA2541 malware to carry out SQL Injection exploits?,<PATH>uses_malware<SEP>filter SQL<SEP>uses_attack_pattern</PATH>,multihop_one_entity_filter
What are the primary SQL Injection techniques employed by HEXANE malware to breach security?,<PATH>uses_malware<SEP>filter SQL<SEP>uses_attack_pattern</PATH>,multihop_one_entity_filter
