category,metric,subgroup,value,notes
new_split_path_length,rows[val],length=4,238,
new_split_path_length,rows[val],length=5,58,
new_split_path_length,rows[val],length=6,38,
new_split_path_length,rows[val],length=7,1,
new_split_operators,rows[val],filter,1091,
new_split_operators,rows[val],select,56,
new_split_operators,rows[val],exec_common,80,
new_split_operators,rows[val],exec_difference,9,
new_split_summary,rows,test_iid,7702,
new_split_summary,distinct_templates,test_iid,197,
new_split_sections,rows[test_iid],multi_hop_relationship,2499,
new_split_sections,rows[test_iid],intra_relationship,1931,
new_split_sections,rows[test_iid],single_hop_not_filter,1479,
new_split_sections,rows[test_iid],single_hop_relationship_filter,842,
new_split_sections,rows[test_iid],multihop_one_entity_filter,610,
new_split_sections,rows[test_iid],entity_in_path,136,
new_split_sections,rows[test_iid],multi_with_more_filter,65,
new_split_sections,rows[test_iid],common_and_differences,48,
new_split_sections,rows[test_iid],multihop_no_entity,42,
new_split_sections,rows[test_iid],other_double_entity,34,
new_split_sections,rows[test_iid],double_entity,14,
new_split_sections,rows[test_iid],multifilter,2,
new_split_path_length,rows[test_iid],length=1,3134,
new_split_path_length,rows[test_iid],length=2,3128,
new_split_path_length,rows[test_iid],length=3,783,
new_split_path_length,rows[test_iid],length=4,467,
new_split_path_length,rows[test_iid],length=5,109,
new_split_path_length,rows[test_iid],length=6,79,
new_split_path_length,rows[test_iid],length=7,2,
new_split_operators,rows[test_iid],filter,2166,
new_split_operators,rows[test_iid],select,106,
new_split_operators,rows[test_iid],exec_common,160,
new_split_operators,rows[test_iid],exec_difference,16,
new_split_summary,rows,test_heldout,15627,
new_split_summary,distinct_templates,test_heldout,70,
new_split_sections,rows[test_heldout],multi_hop_relationship,4790,
new_split_sections,rows[test_heldout],intra_relationship,4734,
new_split_sections,rows[test_heldout],single_hop_not_filter,2641,
new_split_sections,rows[test_heldout],single_hop_relationship_filter,1639,
new_split_sections,rows[test_heldout],multihop_one_entity_filter,1101,
new_split_sections,rows[test_heldout],entity_in_path,251,
new_split_sections,rows[test_heldout],multi_with_more_filter,153,
new_split_sections,rows[test_heldout],common_and_differences,100,
new_split_sections,rows[test_heldout],other_double_entity,84,
new_split_sections,rows[test_heldout],multihop_no_entity,80,
new_split_sections,rows[test_heldout],double_entity,50,
new_split_sections,rows[test_heldout],multifilter,4,
new_split_path_length,rows[test_heldout],length=1,5984,
new_split_path_length,rows[test_heldout],length=2,5425,
new_split_path_length,rows[test_heldout],length=3,1732,
new_split_path_length,rows[test_heldout],length=4,1956,
new_split_path_length,rows[test_heldout],length=5,381,
new_split_path_length,rows[test_heldout],length=6,149,
new_split_operators,rows[test_heldout],filter,4599,
new_split_operators,rows[test_heldout],select,485,
new_split_operators,rows[test_heldout],exec_common,44,
new_split_operators,rows[test_heldout],exec_difference,150,
new_split_summary,skeleton_unseen_rows,test_heldout,7859,Subset of test_heldout whose relation skeleton (paths with filter args also stripped) was never seen in train -- the hardest generalization slice
new_split_guarantees,template_overlap_heldout_vs_rest,verified independently,0,Re-derived TemplateKey from raw Path text in the written CSVs; zero overlap between test_heldout and train/val/test_iid
new_split_guarantees,exact_question_overlap_vs_train,val/test_iid/test_heldout,0,
new_split_guarantees,skeleton_overlap_for_SkeletonUnseen_rows,vs train,0,
new_split_guarantees,CoT_NoCoT_row_alignment,same Question + same final Path per row,True,Fixes the ~10% overlap problem above: CoT and NoCoT models will now be trained/evaluated on identical questions
gold_executability,executable_rate,train,52.5%,34408/65529 gold reference paths retrieve a non-empty answer set
gold_executability_by_section,executable_rate[train],common_and_differences,0.441,
gold_executability_by_section,executable_rate[train],double_entity,1.0,
gold_executability_by_section,executable_rate[train],entity_in_path,0.514,
gold_executability_by_section,executable_rate[train],intra_relationship,0.723,
gold_executability_by_section,executable_rate[train],multi_hop_relationship,0.437,
gold_executability_by_section,executable_rate[train],multi_with_more_filter,0.002,
gold_executability_by_section,executable_rate[train],multifilter,0.654,
gold_executability_by_section,executable_rate[train],multihop_no_entity,0.929,
gold_executability_by_section,executable_rate[train],multihop_one_entity_filter,0.199,
gold_executability_by_section,executable_rate[train],other_double_entity,1.0,
gold_executability_by_section,executable_rate[train],single_hop_not_filter,0.535,
gold_executability_by_section,executable_rate[train],single_hop_relationship_filter,0.549,
gold_executability,executable_rate,val,52.1%,2009/3855 gold reference paths retrieve a non-empty answer set
gold_executability_by_section,executable_rate[val],common_and_differences,0.458,
gold_executability_by_section,executable_rate[val],double_entity,1.0,
gold_executability_by_section,executable_rate[val],entity_in_path,0.441,
gold_executability_by_section,executable_rate[val],intra_relationship,0.724,
gold_executability_by_section,executable_rate[val],multi_hop_relationship,0.436,
gold_executability_by_section,executable_rate[val],multi_with_more_filter,0.0,
gold_executability_by_section,executable_rate[val],multifilter,0.5,
gold_executability_by_section,executable_rate[val],multihop_no_entity,0.857,
gold_executability_by_section,executable_rate[val],multihop_one_entity_filter,0.194,
gold_executability_by_section,executable_rate[val],other_double_entity,1.0,
gold_executability_by_section,executable_rate[val],single_hop_not_filter,0.524,
gold_executability_by_section,executable_rate[val],single_hop_relationship_filter,0.551,
gold_executability,executable_rate,test_iid,52.1%,4012/7702 gold reference paths retrieve a non-empty answer set
gold_executability_by_section,executable_rate[test_iid],common_and_differences,0.438,
gold_executability_by_section,executable_rate[test_iid],double_entity,1.0,
gold_executability_by_section,executable_rate[test_iid],entity_in_path,0.478,
gold_executability_by_section,executable_rate[test_iid],intra_relationship,0.709,
gold_executability_by_section,executable_rate[test_iid],multi_hop_relationship,0.439,
gold_executability_by_section,executable_rate[test_iid],multi_with_more_filter,0.0,
gold_executability_by_section,executable_rate[test_iid],multifilter,1.0,
gold_executability_by_section,executable_rate[test_iid],multihop_no_entity,0.952,
gold_executability_by_section,executable_rate[test_iid],multihop_one_entity_filter,0.205,
gold_executability_by_section,executable_rate[test_iid],other_double_entity,1.0,
gold_executability_by_section,executable_rate[test_iid],single_hop_not_filter,0.521,
gold_executability_by_section,executable_rate[test_iid],single_hop_relationship_filter,0.562,
gold_executability,executable_rate,test_heldout,44.5%,6959/15627 gold reference paths retrieve a non-empty answer set
gold_executability_by_section,executable_rate[test_heldout],common_and_differences,0.94,
gold_executability_by_section,executable_rate[test_heldout],double_entity,1.0,
gold_executability_by_section,executable_rate[test_heldout],entity_in_path,0.378,
gold_executability_by_section,executable_rate[test_heldout],intra_relationship,0.362,
gold_executability_by_section,executable_rate[test_heldout],multi_hop_relationship,0.317,
gold_executability_by_section,executable_rate[test_heldout],multi_with_more_filter,0.0,
gold_executability_by_section,executable_rate[test_heldout],multifilter,0.75,
gold_executability_by_section,executable_rate[test_heldout],multihop_no_entity,0.75,
gold_executability_by_section,executable_rate[test_heldout],multihop_one_entity_filter,0.047,
gold_executability_by_section,executable_rate[test_heldout],other_double_entity,0.976,
gold_executability_by_section,executable_rate[test_heldout],single_hop_not_filter,0.896,
gold_executability_by_section,executable_rate[test_heldout],single_hop_relationship_filter,0.562,
gold_executability,overall_dataset_validity,"all 92,713 deduped rows",~52%,"~Half of the auto-generated dataset asks a question whose gold answer, per the ontology's own edges, is empty -- e.g. 'What security protocols are bypassed by Resource Hijacking?' has gold path x_mitre_defense_bypassed but that node has no such edge. Not caught by build_dataset.py; only surfaced by executing paths."
gold_executability,worst_section,multi_with_more_filter,~0% executable,Near-total invalidity in train/val/test_iid
gold_executability,worst_section_2,multihop_one_entity_filter,~20% executable (5-20% across splits),
second_order_NoCoT_robustness,n_examples,overall,13930,"Paraphrased ('Variation 2') versions of the original 13,951 test questions; predictions were already computed and stored in datasets/NoCoT/second_order_results_NoCoT.json, only the entity-level scoring was missing"
second_order_NoCoT_robustness,path_EM,overall,0.536,"95% CI [0.528, 0.545]; cross-checked against the repo's own stored is_path_correct labels (0.5346) -- matches"
second_order_NoCoT_robustness,entity_F1,overall,0.518,"95% CI [0.506, 0.529] -- new metric, not previously computed anywhere in the repo"
second_order_NoCoT_robustness,well_formed_rate,overall,1.000,
second_order_NoCoT_robustness,gold_executable_rate,overall,0.510,
second_order_NoCoT_robustness,pred_nonempty_rate,overall,0.404,
second_order_NoCoT_by_length,path_EM,L1,0.543,n=5657
second_order_NoCoT_by_length,entity_F1,L1,0.529,n=5657
second_order_NoCoT_by_length,path_EM,L2,0.532,n=5438
second_order_NoCoT_by_length,entity_F1,L2,0.511,n=5438
second_order_NoCoT_by_length,path_EM,L3,0.523,n=1423
second_order_NoCoT_by_length,entity_F1,L3,0.384,n=1423
second_order_NoCoT_by_length,path_EM,L4+,0.543,n=1412
second_order_NoCoT_by_length,entity_F1,L4+,0.577,n=1412
second_order_NoCoT_by_operator,path_EM,exec_common,0.232,n=241
second_order_NoCoT_by_operator,entity_F1,exec_common,exec_common,n=241
second_order_NoCoT_by_operator,gold_executable_rate,exec_common,0.519,n=241
second_order_NoCoT_by_operator,path_EM,exec_difference,0.421,n=57
second_order_NoCoT_by_operator,entity_F1,exec_difference,exec_difference,n=57
second_order_NoCoT_by_operator,gold_executable_rate,exec_difference,0.474,n=57
second_order_NoCoT_by_operator,path_EM,filter,0.661,n=3771
second_order_NoCoT_by_operator,entity_F1,filter,filter,n=3771
second_order_NoCoT_by_operator,gold_executable_rate,filter,0.148,n=3771
second_order_NoCoT_by_operator,path_EM,plain,0.495,n=9733
second_order_NoCoT_by_operator,entity_F1,plain,plain,n=9733
second_order_NoCoT_by_operator,gold_executable_rate,plain,0.645,n=9733
second_order_NoCoT_by_operator,path_EM,select,0.609,n=128
second_order_NoCoT_by_operator,entity_F1,select,select,n=128
second_order_NoCoT_by_operator,gold_executable_rate,select,0.891,n=128
second_order_NoCoT_robustness,notable_divergence,L3 bucket,path_EM=0.523 but entity_F1=0.384,Path-EM and answer correctness diverge sharply at depth 3 -- confirms Reviewer 3's 'path correctness is a proxy but not sufficient' concern with data
second_order_NoCoT_robustness,notable_divergence,filter bucket,path_EM=0.661 (highest) but only 14.8% of filter questions are gold-executable,"Model looks best exactly where questions are most often unanswerable -- a dataset-validity artifact, not a model strength"
code_audit,missing_component,evaluation code,absent from repo,No script anywhere computes Path Accuracy / ROUGE / BLEU / BERTScore as reported in the paper's Fig. 4 -- built from scratch as evaluate_titan.py
code_audit,bug,graph_algorithm.py:follow_graph_n_entities,exec_common/exec_difference result not returned,Computes the set-combined answer for those steps but only appends it to a printable log; the actual node set is unrecoverable programmatically. Reimplemented correctly in evaluate_titan.py:execute_path()
code_audit,fragility,test.py:extract_entities_from_output,brittle string-matching on exact CoT phrasing,"Entity extraction from generated text depends on literal substrings like ""Let's reason step by step, starting from the entity""; any phrasing drift breaks it silently"
code_audit,fragility,test.py / graph_algorithm.py entity resolution,"SequenceMatcher fuzzy match, fixed threshold=0.5, no fallback reported",
code_audit,split_bug,datasets/create_dataset_splits.py,row-level random split within each section,"Root cause of the 100% template leakage above; produces per-question, not per-template, train/test partitioning"
code_audit,checkpoints,MODELS/ directory,not present in repo,Trained Phi-3.5 CoT/NoCoT adapters referenced in the paper are not saved locally; retraining from scratch was required to get any model predictions
environment,GPUs available,node,8x NVIDIA A100-PCIE-40GB,"nvidia-smi at session start, all idle"
environment,GPUs used for retraining,restricted per user instruction,"GPU 0, 1, 2 only",
environment,training deps present,system python,False,unsloth/trl/peft not installed; created isolated .venv per README instructions rather than modifying shared system Python
sparql_layer1,component_built,utils/graph_to_rdf.py,128026 triples from 27568 nodes / 100458 edges,"GraphML -> RDF N-Triples, bijective node/edge mapping, rel_target_types.json (dominant source/target type per relation) for compiler use"
sparql_layer1,component_built,baselines/path_to_sparql.py,DSL path -> SPARQL compiler,"mirrors evaluate_titan.execute_path() construct-by-construct: entity seed, relation step, filter (and/or), is_<type>_type seeding, select branching, exec_common/exec_difference (symmetric, via MINUS/UNION)"
sparql_layer1,component_built,baselines/validate_sparql_equivalence.py,"gold executor vs compiled SPARQL, answer-set comparison",validation gate before trusting any SPARQL baseline comparison as fair
sparql_layer1,equivalence_rate,"1500-row sample (seed=7), gold-executable rows",raw 96.40% -> 99.52% excluding known gold-label bugs,100% of the residual gap after exclusion is explained by bug2 (7/7 remaining mismatches are exec_difference+select+name-collision)
dataset_bug_found,executor_bug,"evaluate_titan.execute_path() / graph_algorithm.py (pre-existing, inherited)",_type substring collision: x_mitre_impact_type / x_mitre_tactic_type,"These MITRE attribute relation names contain the substring ""_type"", colliding with the type-seed heuristic . When an earlier path step legitimately yields 0 nodes, reaching one of these relations INCORRECTLY RESETS the branch to the full set of edge sources instead of staying empty, producing a wrong non-empty gold answer. Traced via a concrete failing case: Sandworm Team --attributed_to--> (wrong direction, 0 results) still produced 27 spurious gold answers."
dataset_bug_found,executor_bug_prevalence,"test_heldout, gold-executable rows",195/6959 = 2.80%,"rows whose path uses x_mitre_impact_type or x_mitre_tactic_type as a non-first step; these rows gold labels are unreliable, independent of any model being evaluated against them"
dataset_bug_found,graph_construction_bug,utils/build_graph.py / graph nodes keyed by name string,cross-category name collision: STIX objects from different MITRE categories sharing a display name are merged into one graph node,"e.g. ""Code Signing"" exists as BOTH an attack_pattern (T1553.002-style technique) and a course_of_action (mitigation control) in MITRE data; the graph collapses them to one node with edges from both identities. _get_node_type() dynamically picks a type via neighbor-iteration order, silently misclassifying such nodes for exec_common/exec_difference type-based accumulation."
dataset_bug_found,graph_construction_bug_prevalence,whole graph,21/2408 = 0.87% of typed entity nodes,"nodes with >=2 distinct is_<category>_type edges; examples: Code Signing, Vulnerability Scanning, Software, File Deletion, Firmware"
dataset_bug_found,graph_construction_bug_local_prevalence,exec_difference+select paths specifically (n=25 sample),7/25 = 28.0%,this operator is disproportionately exposed to the name-collision bug since it depends entirely on per-node dynamic typing; partially explains why exec_common/exec_difference are consistently the worst-scoring operator across every model tested this session (baselines and fine-tuned alike)
bug_fix,executor_bug_fixed,evaluate_titan.py execute_path(),"is_ prefix + _type suffix exact match, replacing _type substring check",fixes the x_mitre_impact_type/x_mitre_tactic_type collision (dataset_bug_found row above); verified via gold self-consistency (EM=F1=1.0 held) and SPARQL equivalence rising from 96.40% to 100.00% on the same 1500-row sample
bug_fix,executor_bug_fixed,evaluate_titan.py _traverse(),static per-relation dominant type (rel_target_types.json) replacing per-node dynamic GA._get_node_type(),fixes the cross-category name-collision bug for exec_common/exec_difference accumulation (dataset_bug_found row above); the SAME substring bug was independently present in baselines/path_to_sparql.py compile_path() (mirrored from the pre-fix executor when Layer 1 was built) and was fixed identically there
bug_fix,equivalence_after_fix,1500-row sample (seed=7) then 4000-row sample (seed=99),"100.00% raw match, both samples, every section, zero exceptions",both bugs fully resolved; this is the clean equivalence result underpinning Layer 2 fairness
bug_fix,rescoring_impact,"all 8 models (4 baselines incl. new DeepSeek run, 4 fine-tuned x 2 splits)","rescored from already-saved prediction JSONs, zero new GPU generation","rankings UNCHANGED after the fix; entity-F1 values shifted by at most ~0.03 in either direction, well within existing 95% CIs -- confirms the bugs added noise (self-consistent across gold+prediction execution) not directional bias, as predicted before fixing"
baseline_result,"DeepSeek-R1-Distill-Llama-70B (prompted, v3)",test_heldout n=15627,"Path EM 0.004 [0.003,0.005]  Entity F1 0.028 [0.024,0.032]","weakest baseline by a wide margin, despite being a strong reasoning-distilled model; root cause identified and verified (not truncation, not a scoring bug -- see next 2 rows)"
baseline_finding,DeepSeek instruction non-adherence,test_heldout n=15627,7638/15627 = 48.9% of generations contain a parseable <PATH> tag; the rest are natural-language cybersecurity prose,"verified NOT a truncation artifact: 97.9% of unparsed rows end with clean terminal punctuation (complete thoughts), median length 2651 chars, well under the 3000-token budget. Despite the v3 prompt explicitly instructing ""respond with ONLY the path, no explanation"" and providing 3 worked examples + 12 verified few-shot examples (identical prompt content to every other baseline), DeepSeek-R1-Distill frequently answers as a helpful security assistant in prose instead of emitting the DSL -- contrasts informatively with gpt-oss-120b, which reliably reached its <PATH> answer once given adequate token budget (Harmony final channel)."
tooling_bug,vLLM detokenization artifact,baselines/vllm_baseline.py output for DeepSeek-R1-Distill-Llama-70B-bnb-4bit specifically,"raw generated text contained literal GPT2-byte-level BPE markers (Ġ=U+0120 for space, Ċ=U+010A for newline) instead of properly decoded text","root cause not fully diagnosed (specific to this checkpoint/tokenizer combination; no other baseline this session showed this). Confirmed uniform across parsed AND unparsed rows (not correlated with the parse-failure finding above) and confirmed NOT corrupting <PATH> tag boundaries themselves (only step-name whitespace, e.g. ""<SEP>Ġtargets""). Fixed by post-processing the already-saved JSON (str.replace, safe since these codepoints essentially never occur in legitimate content) rather than regenerating ~3h of 4-GPU compute; raw pre-fix text preserved in generated_path_raw for audit."
sparql_layer2,component_built,baselines/sparql_baseline.py,prompted SPARQL generation baseline,"byte-identical information content to the DSL v3 prompt (same graph schema, same 12 executable-verified few-shot questions, same 3 worked examples) but targets compiled to SPARQL via path_to_sparql.compile_path -- isolates query LANGUAGE as the only variable"
sparql_layer2,validated_before_use,compiled few-shot/worked-example shots (12/12),all compiled successfully; spot-checked mid-path select semantics directly against gold before trusting as teaching examples,"caught + verified two shots whose compiled SPARQL looked degenerate (mid-path select resets branch state) were actually FAITHFUL to real execute_path() semantics, not compiler bugs -- confirmed by direct execution"
sparql_layer2,performance_bug_found_and_fixed,"baselines/sparql_baseline.py scoring loop (rdflib.Graph.query, pure-Python SPARQL engine)","measured ~23s/query on real generated multi-hop SPARQL -> projected ~100h for the full 15,627-row test_heldout","killed the run (generation had already completed, zero GPU work lost) and rewrote scoring in baselines/score_sparql_predictions.py using pyoxigraph (compiled Rust SPARQL engine): benchmarked ~0.31s/query single-threaded (~50x speedup), then parallelized across 24 CPU cores -> full-set scoring completed in ~3 minutes"
sparql_layer2_result,"Qwen2.5-72B prompted SPARQL vs TITAN-DSL, SAME model SAME test set",test_heldout n=15627,"SPARQL: Entity F1 0.166 [0.159,0.172], well-formed 1.000, exec errors 0.4%, pred non-empty 79.1%  |  TITAN-DSL (same model, v3 prompt): Entity F1 0.529","headline result answering the metareview core objection (SPARQL generators could do this) with data: for the identical model given equivalent prompt information, SPARQL generation is 3.2x worse than the TITAN DSL despite perfect syntactic validity (100% well-formed) -- the gap is semantic/compositional (getting the right multi-hop joins, MINUS/UNION for exec_difference, filter placement), not syntactic. Worst sections: double_entity F1=0.000, common_and_differences F1=0.029, multifilter F1=0.000 -- exactly the compositional/multi-branch constructs."
prompt_ablation_result,"Qwen2.5-72B NoCoT-prompted vs CoT-prompted, SAME weights, zero fine-tuning",test_heldout n=15627,NoCoT: EM 0.304 F1 0.529  |  CoT: EM 0.440 F1 0.648,"CoT prompting alone (no fine-tuning) produces the single largest score jump measured this session for one intervention (+0.136 EM, +0.119 F1). The resulting F1 (0.648) is the HIGHEST of any model tested, exceeding every fine-tuned model including Qwen2.5-7B CoT fine-tuned (F1 0.593). Path EM still favors the fine-tuned model (0.459 vs 0.440) -- exact path reproduction and answer-set correctness dissociate here. This nuance should be reported honestly in the paper rather than only citing the EM comparison where fine-tuning wins."
sparql_layer2_result,"Llama-3.3-70B prompted SPARQL vs TITAN-DSL, SAME model SAME test set",test_heldout n=15627,"SPARQL: Entity F1 0.148 [0.141,0.155], well-formed 1.000, exec errors 15.9%, pred non-empty 40.7%  |  TITAN-DSL (same model, v3 prompt): Entity F1 0.414","confirms the SPARQL-vs-DSL gap found for Qwen2.5-72B (0.166 vs 0.529, 3.2x) holds for a SECOND, independent model (0.148 vs 0.414, 2.8x) -- this is no longer a single-model artifact. Llama shows a higher SPARQL execution-error rate (15.9% vs Qwen's 0.4%), suggesting Llama's SPARQL is syntactically valid (100% well-formed, same as Qwen) but structurally malformed more often (e.g. unbound variables, type mismatches) -- consistent with Llama being the weaker model on the DSL too."
sparql_layer3_result,"Qwen2.5-7B fine-tuned on SPARQL vs fine-tuned on TITAN-DSL, SAME backbone SAME recipe","test_heldout n=15627 (F1 computed over the 6772 gold-executable rows, same convention as every other model this session)","SPARQL fine-tuned: Entity F1 0.738 [0.728,0.749], well-formed 1.000, exec errors 0.3%, pred non-empty 52.3%  |  DSL fine-tuned (NoCoT): F1 0.527  |  DSL fine-tuned (CoT): F1 0.593  |  Qwen2.5-72B prompted SPARQL (no fine-tuning): F1 0.166","MAJOR, VERIFIED finding (spot-checked perfect-score examples for legitimacy before trusting; n_gold==n_pred with plausible small counts, e.g. 6-7 platform values for ""what OS/devices are affected by X techniques""): fine-tuning REVERSES the Layer 2 prompted-model result. Prompted, SPARQL was 3.2x worse than the DSL (0.166 vs 0.529) for Qwen2.5-72B. Fine-tuned, SPARQL is the best result of the entire session (0.738), beating the same backbone's own DSL fine-tune by +0.145 to +0.211 F1. Plausible mechanism: SPARQL is a real, well-established query language the base model likely saw substantial pretraining exposure to (syntax, structure, common patterns), giving fine-tuning a strong prior to refine; the bespoke TITAN DSL has zero pretraining prior and must be learned entirely from the 65,529 training rows. This means the earlier ""SPARQL is harder for LLMs, therefore our DSL is justified"" framing from Layer 2 does NOT hold once fine-tuning is in scope -- the honest revised framing is: prompting favors the DSL (simpler, less syntax overhead for in-context learning), but fine-tuning favors SPARQL (leverages pretrained knowledge of a real language). Needs to be reported exactly this way in the paper, not simplified in either direction. Awaiting Phi-3.5 SPARQL fine-tune (generating now) to see if this replicates on a second backbone."
sparql_layer3_result,"Phi-3.5 fine-tuned on SPARQL vs fine-tuned on TITAN-DSL, SAME backbone SAME recipe",test_heldout n=15627,"SPARQL fine-tuned: Entity F1 0.659 [0.648,0.669], well-formed 1.000, exec errors 0.4%, pred non-empty 54.5%  |  DSL fine-tuned (NoCoT): F1 0.428  |  DSL fine-tuned (CoT): F1 0.563","REPLICATES the Qwen2.5-7B finding (SPARQL fine-tune 0.738 vs DSL fine-tune 0.527-0.593) on a SECOND, independent backbone: SPARQL fine-tune (0.659) beats both DSL fine-tune variants (+0.096 to +0.231 F1). The ""fine-tuning reverses the prompted-model SPARQL-vs-DSL result"" finding is now a robust, cross-backbone pattern, not a single-model artifact. Combined with the prompted-model result (SPARQL far worse than DSL when only prompted, both at 72B and, pending, 7B scale -- see the Qwen2.5-7B no-fine-tuning control experiment in progress), this gives the paper a clean, honest, and more scientifically interesting story than either direction alone."
metric_addition,query_em added to score_sparql_predictions.py,compares generated SPARQL text (normalized whitespace) against the canonical gold SPARQL compiled by path_to_sparql.compile_path for the same reference DSL path,"user requested exact-match for SPARQL, which had not been computed (only entity-F1 was). Rescored ALL 4 already-generated SPARQL prediction sets from saved JSON, zero new GPU work.","caveat found and disclosed: query_em is a STRICT metric -- it can be 0 even when entity-F1=1.0, if the model reaches the right answer via an incomplete/incorrect reasoning chain that coincidentally still produces the correct set for that specific entity instance (concrete example found and verified: model dropped a required ""filter ics"" step, but the one malware used by that specific intrusion_set happened to match the filter anyway, so the answer set was still correct). This means query_em is arguably the MORE trustworthy metric of the two for verifying genuine multi-hop reasoning correctness, not just F1."
sparql_query_em_result,Query EM across all SPARQL conditions tested,test_heldout n=15627,"PROMPTED (no fine-tuning): Llama-3.3-70B 0.003, Qwen2.5-72B 0.026  |  FINE-TUNED: Qwen2.5-7B 0.602, Phi-3.5 0.485","The ""fine-tuning reverses the SPARQL-vs-DSL result"" finding is CONFIRMED, and more strongly, on the strict exact-match metric, not just entity-F1: prompted SPARQL query EM is essentially zero (0.003-0.026) regardless of model, but fine-tuned SPARQL EM (0.485-0.602) clearly EXCEEDS the best fine-tuned DSL EM on both backbones (Qwen2.5-7B DSL best 0.459, Phi-3.5 DSL best 0.381). This rules out the concern that the F1 reversal was solely an artifact of coincidental answer-set matches -- the model is reproducing the CORRECT SPARQL QUERY STRUCTURE itself far more often after fine-tuning on SPARQL than after fine-tuning on the DSL."
sparql_mechanism_check,"Qwen2.5-7B prompted SPARQL (no fine-tuning), completes the 2x2",test_heldout n=15627,"Query EM 0.010 [0.009,0.012], Entity F1 0.108 [0.103,0.114], well-formed 0.998, exec errors 1.3%, pred non-empty 40.8%","COMPLETES the fully-crossed 2x2 mechanism check. At 7B scale, prompted (no fine-tuning), DSL still clearly beats SPARQL (EM 0.060 vs 0.010 = 6x; F1 0.360 vs 0.108 = 3.3x) -- the SAME direction as at 72B scale (EM 0.304 vs 0.026; F1 0.529 vs 0.166). This rules out ""smaller models are just better at SPARQL"" as an explanation: without fine-tuning, DSL wins at BOTH scales tested. The SPARQL advantage appears ONLY after fine-tuning (7B fine-tuned: SPARQL EM 0.602 / F1 0.738 vs best DSL fine-tune EM 0.459 / F1 0.593) -- fine-tuning specifically is the mechanism, most plausibly by letting the model draw on pretrained knowledge of real SPARQL syntax/structure that in-context prompting cannot access as effectively as gradient-based adaptation can. Full 2x2 (condition x formalism) now supports this reading with data on both axes."
